zenith_cut,angle,phi0,gamma,detector,mean_max_efstat,mean_max_efstat_error
5.0,30.0,4.6415888336127726e-14,3.0,arca,66.79296285216397,0.0
5.0,30.0,1e-13,1.5,arca,68.567449719215,0.0
5.0,30.0,1e-13,1.5625,arca,66.79296285216397,0.0
5.0,30.0,1e-13,1.625,arca,59.875193179456474,0.0
5.0,30.0,1e-13,1.6875,arca,64.84234429555738,0.0
5.0,30.0,1e-13,1.75,arca,71.35093406911034,0.0
5.0,30.0,1e-13,1.8125,arca,66.7610899313714,0.0
5.0,30.0,1e-13,1.875,arca,59.34487937098043,0.0
5.0,30.0,1e-13,1.9375,arca,63.04164267999765,0.0
5.0,30.0,1e-13,2.0,arca,64.2104761502968,0.0
5.0,30.0,1e-13,2.0625,arca,64.20920272957021,0.0
5.0,30.0,1e-13,2.125,arca,66.79296285216397,0.0
5.0,30.0,1e-13,2.1875,arca,74.79244675748348,0.0
5.0,30.0,1e-13,2.25,arca,59.339191739896755,0.0
5.0,30.0,1e-13,2.3125,arca,67.90977159362691,0.0
5.0,30.0,1e-13,2.375,arca,66.79296285216397,0.0
5.0,30.0,1e-13,2.4375,arca,71.78644874377707,0.0
5.0,30.0,1e-13,2.5,arca,60.583992262385145,0.0
5.0,30.0,1e-13,2.5625,arca,66.79296285216397,0.0
5.0,30.0,1e-13,2.625,arca,62.322867319874284,0.0
5.0,30.0,1e-13,2.6875,arca,65.98039632381264,0.0
5.0,30.0,1e-13,2.75,arca,66.79296285216397,0.0
5.0,30.0,1e-13,2.8125,arca,67.74827613141082,0.0
5.0,30.0,1e-13,2.875,arca,67.49155879774402,0.0
5.0,30.0,1e-13,2.9375,arca,60.410306510925494,0.0
5.0,30.0,1e-13,3.0,arca,66.79296285216397,0.0
5.0,30.0,2.1544346900318865e-13,1.5,arca,70.84029218503488,0.0
5.0,30.0,2.1544346900318865e-13,1.5625,arca,64.11824796072337,0.0
5.0,30.0,2.1544346900318865e-13,1.625,arca,71.1045638250987,0.0
5.0,30.0,2.1544346900318865e-13,1.6875,arca,63.46784678467847,0.0
5.0,30.0,2.1544346900318865e-13,1.75,arca,60.798993922428714,0.0
5.0,30.0,2.1544346900318865e-13,1.8125,arca,64.22801429938856,0.0
5.0,30.0,2.1544346900318865e-13,1.875,arca,58.590239649509854,0.0
5.0,30.0,2.1544346900318865e-13,1.9375,arca,66.79296285216397,0.0
5.0,30.0,2.1544346900318865e-13,2.0,arca,62.72739374791996,0.0
5.0,30.0,2.1544346900318865e-13,2.0625,arca,71.59504797199017,0.0
5.0,30.0,2.1544346900318865e-13,2.125,arca,66.79296285216397,0.0
5.0,30.0,2.1544346900318865e-13,2.1875,arca,66.79296285216397,0.0
5.0,30.0,2.1544346900318865e-13,2.25,arca,71.25005975563461,0.0
5.0,30.0,2.1544346900318865e-13,2.3125,arca,66.4968144109238,0.0
5.0,30.0,2.1544346900318865e-13,2.375,arca,65.72175494856864,0.0
5.0,30.0,2.1544346900318865e-13,2.4375,arca,62.68989222741726,0.0
5.0,30.0,2.1544346900318865e-13,2.5,arca,58.49557040854756,0.0
5.0,30.0,2.1544346900318865e-13,2.5625,arca,59.67005588538848,0.0
5.0,30.0,2.1544346900318865e-13,2.625,arca,65.42354650822112,0.0
5.0,30.0,2.1544346900318865e-13,2.6875,arca,63.84227222012133,0.0
5.0,30.0,2.1544346900318865e-13,2.75,arca,60.951597970161856,0.0
5.0,30.0,2.1544346900318865e-13,2.8125,arca,66.79296285216397,0.0
5.0,30.0,2.1544346900318865e-13,2.875,arca,64.17095047303754,0.0
5.0,30.0,2.1544346900318865e-13,2.9375,arca,64.97798276368499,0.0
5.0,30.0,2.1544346900318865e-13,3.0,arca,69.18547162630922,0.0
5.0,30.0,4.641588833612772e-13,1.5,arca,68.78664589041205,0.0
5.0,30.0,4.641588833612772e-13,1.5625,arca,61.91762541633517,0.0
5.0,30.0,4.641588833612772e-13,1.625,arca,64.9684042061041,0.0
5.0,30.0,4.641588833612772e-13,1.6875,arca,64.24270913022177,0.0
5.0,30.0,4.641588833612772e-13,1.75,arca,68.59150174357869,0.0
5.0,30.0,4.641588833612772e-13,1.8125,arca,65.05478326028847,0.0
5.0,30.0,4.641588833612772e-13,1.875,arca,58.39710544861326,0.0
5.0,30.0,4.641588833612772e-13,1.9375,arca,66.19503964207664,0.0
5.0,30.0,4.641588833612772e-13,2.0,arca,65.7795859814384,0.0
5.0,30.0,4.641588833612772e-13,2.0625,arca,66.88477645391113,0.0
5.0,30.0,4.641588833612772e-13,2.125,arca,59.090411256442856,0.0
5.0,30.0,4.641588833612772e-13,2.1875,arca,70.73805078270868,0.0
5.0,30.0,4.641588833612772e-13,2.25,arca,84.18172443211114,0.0
5.0,30.0,4.641588833612772e-13,2.3125,arca,65.82830508434847,0.0
5.0,30.0,4.641588833612772e-13,2.375,arca,60.895345738966,0.0
5.0,30.0,4.641588833612772e-13,2.4375,arca,60.511292011062324,0.0
5.0,30.0,4.641588833612772e-13,2.5,arca,65.36553284863186,0.0
5.0,30.0,4.641588833612772e-13,2.5625,arca,56.873078930671156,0.0
5.0,30.0,4.641588833612772e-13,2.625,arca,65.9523592243402,0.0
5.0,30.0,4.641588833612772e-13,2.6875,arca,64.79350404590673,0.0
5.0,30.0,4.641588833612772e-13,2.75,arca,71.21324157484696,0.0
5.0,30.0,4.641588833612772e-13,2.8125,arca,63.18656025428952,0.0
5.0,30.0,4.641588833612772e-13,2.875,arca,66.79296285216397,0.0
5.0,30.0,4.641588833612772e-13,2.9375,arca,60.268511528825584,0.0
5.0,30.0,4.641588833612772e-13,3.0,arca,69.12159616452955,0.0
5.0,30.0,1e-12,1.5,arca,57.880955190291814,0.0
5.0,30.0,1e-12,1.5625,arca,72.38361439757435,0.0
