zenith_cut,angle,phi0,gamma,detector,length_days,mean_max_efstat,mean_max_efstat_error
30.0,5.0,1e-14,1.5,arca,150.0,57.51329243353783,0.0
30.0,5.0,1e-14,1.5625,arca,150.0,64.80898876404494,0.0
30.0,5.0,1e-14,1.625,arca,150.0,59.559356650497826,0.0
30.0,5.0,1e-14,1.6875,arca,150.0,56.162262223924415,0.0
30.0,5.0,1e-14,1.75,arca,150.0,62.717058222676215,0.0
30.0,5.0,1e-14,1.8125,arca,150.0,61.50580875781947,0.0
30.0,5.0,1e-14,1.875,arca,150.0,54.1725370086779,0.0
30.0,5.0,1e-14,1.9375,arca,150.0,61.207275047862154,0.0
30.0,5.0,1e-14,2.0,arca,150.0,54.1725370086779,0.0
30.0,5.0,1e-14,2.0625,arca,150.0,59.48583099310697,0.0
30.0,5.0,1e-14,2.125,arca,150.0,56.33665389527458,0.0
30.0,5.0,1e-14,2.1875,arca,150.0,56.94511105437836,0.0
30.0,5.0,1e-14,2.25,arca,150.0,58.26040336992597,0.0
30.0,5.0,1e-14,2.3125,arca,150.0,54.1725370086779,0.0
30.0,5.0,1e-14,2.375,arca,150.0,54.1725370086779,0.0
30.0,5.0,1e-14,2.4375,arca,150.0,54.1725370086779,0.0
30.0,5.0,1e-14,2.5,arca,150.0,55.01252076146672,0.0
30.0,5.0,1e-14,2.5625,arca,150.0,54.1725370086779,0.0
30.0,5.0,1e-14,2.625,arca,150.0,54.1725370086779,0.0
30.0,5.0,1e-14,2.6875,arca,150.0,54.1725370086779,0.0
30.0,5.0,1e-14,2.75,arca,150.0,58.380763826797796,0.0
30.0,5.0,1e-14,2.8125,arca,150.0,54.1725370086779,0.0
30.0,5.0,1e-14,2.875,arca,150.0,54.1725370086779,0.0
30.0,5.0,1e-14,2.9375,arca,150.0,55.56446259892775,0.0
30.0,5.0,1e-14,3.0,arca,150.0,54.1725370086779,0.0
30.0,5.0,2.1544346900318866e-14,1.5,arca,150.0,56.94511105437836,0.0
30.0,5.0,2.1544346900318866e-14,1.5625,arca,150.0,56.94511105437836,0.0
30.0,5.0,2.1544346900318866e-14,1.625,arca,150.0,56.94511105437836,0.0
30.0,5.0,2.1544346900318866e-14,1.6875,arca,150.0,66.24146746772337,0.0
30.0,5.0,2.1544346900318866e-14,1.75,arca,150.0,63.73814696485623,0.0
30.0,5.0,2.1544346900318866e-14,1.8125,arca,150.0,58.654283160985564,0.0
30.0,5.0,2.1544346900318866e-14,1.875,arca,150.0,55.68482291267101,0.0
30.0,5.0,2.1544346900318866e-14,1.9375,arca,150.0,54.1725370086779,0.0
30.0,5.0,2.1544346900318866e-14,2.0,arca,150.0,56.94511105437836,0.0
