zenith_cut,angle,phi0,gamma,detector,mean_max_efstat,mean_max_efstat_error
90.0,30.0,1e-06,1.5,arca,57.965027267724025,0.0
90.0,30.0,1e-06,1.5,orca,60.55748225371296,0.0
90.0,30.0,1e-06,1.5,combined,59.78776071341925,0.0
90.0,30.0,1e-06,1.5625,arca,53.51692855985745,0.0
90.0,30.0,1e-06,1.5625,orca,60.55748225371296,0.0
90.0,30.0,1e-06,1.5625,combined,57.004179451520585,0.0
90.0,30.0,1e-06,1.625,arca,57.63558616817558,0.0
90.0,30.0,1e-06,1.625,orca,60.55748225371296,0.0
90.0,30.0,1e-06,1.625,combined,61.922995407983045,0.0
90.0,30.0,1e-06,1.6875,arca,53.51692855985745,0.0
90.0,30.0,1e-06,1.6875,orca,60.55748225371296,0.0
90.0,30.0,1e-06,1.6875,combined,60.78880332189712,0.0
90.0,30.0,1e-06,1.75,arca,53.51692855985745,0.0
90.0,30.0,1e-06,1.75,orca,60.55748225371296,0.0
90.0,30.0,1e-06,1.75,combined,60.78880332189712,0.0
90.0,30.0,1e-06,1.8125,arca,53.51692855985745,0.0
90.0,30.0,1e-06,1.8125,orca,60.55748225371296,0.0
90.0,30.0,1e-06,1.8125,combined,60.78880332189712,0.0
90.0,30.0,1e-06,1.875,arca,53.51692855985745,0.0
90.0,30.0,1e-06,1.875,orca,60.55748225371296,0.0
90.0,30.0,1e-06,1.875,combined,60.78880332189712,0.0
90.0,30.0,1e-06,1.9375,arca,53.51692855985745,0.0
90.0,30.0,1e-06,1.9375,orca,60.55748225371296,0.0
90.0,30.0,1e-06,1.9375,combined,60.78880332189712,0.0
90.0,30.0,1e-06,2.0,arca,53.51692855985745,0.0
90.0,30.0,1e-06,2.0,orca,60.55748225371296,0.0
90.0,30.0,1e-06,2.0,combined,60.78880332189712,0.0
90.0,30.0,1e-06,2.0625,arca,53.51692855985745,0.0
90.0,30.0,1e-06,2.0625,orca,60.55748225371296,0.0
90.0,30.0,1e-06,2.0625,combined,60.78880332189712,0.0
90.0,30.0,1e-06,2.125,arca,53.51692855985745,0.0
90.0,30.0,1e-06,2.125,orca,60.55748225371296,0.0
90.0,30.0,1e-06,2.125,combined,60.78880332189712,0.0
90.0,30.0,1e-06,2.1875,arca,53.51692855985745,0.0
90.0,30.0,1e-06,2.1875,orca,60.55748225371296,0.0
90.0,30.0,1e-06,2.1875,combined,60.78880332189712,0.0
90.0,30.0,1e-06,2.25,arca,53.51692855985745,0.0
90.0,30.0,1e-06,2.25,orca,60.55748225371296,0.0
90.0,30.0,1e-06,2.25,combined,60.78880332189712,0.0
90.0,30.0,1e-06,2.3125,arca,53.51692855985745,0.0
90.0,30.0,1e-06,2.3125,orca,60.55748225371296,0.0
90.0,30.0,1e-06,2.3125,combined,60.78880332189712,0.0
90.0,30.0,1e-06,2.375,arca,53.51692855985745,0.0
90.0,30.0,1e-06,2.375,orca,60.55748225371296,0.0
90.0,30.0,1e-06,2.375,combined,60.78880332189712,0.0
90.0,30.0,1e-06,2.4375,arca,53.51692855985745,0.0
90.0,30.0,1e-06,2.4375,orca,60.55748225371296,0.0
90.0,30.0,1e-06,2.4375,combined,60.78880332189712,0.0
90.0,30.0,1e-06,2.5,arca,53.51692855985745,0.0
90.0,30.0,1e-06,2.5,orca,60.55748225371296,0.0
90.0,30.0,1e-06,2.5,combined,60.78880332189712,0.0
90.0,30.0,1e-06,2.5625,arca,53.51692855985745,0.0
90.0,30.0,1e-06,2.5625,orca,60.55748225371296,0.0
90.0,30.0,1e-06,2.5625,combined,60.78880332189712,0.0
90.0,30.0,1e-06,2.625,arca,53.51692855985745,0.0
90.0,30.0,1e-06,2.625,orca,60.55748225371296,0.0
