zenith_cut,angle,phi0,gamma,detector,mean_max_efstat,mean_max_efstat_error
120.0,30.0,1e-06,1.5,arca,56.98198250391055,0.0
120.0,30.0,1e-06,1.5,orca,52.91115387699463,0.0
120.0,30.0,1e-06,1.5,combined,58.647789848085544,0.0
120.0,30.0,1e-06,1.5625,arca,53.939431683225685,0.0
120.0,30.0,1e-06,1.5625,orca,52.91115387699463,0.0
120.0,30.0,1e-06,1.5625,combined,57.2020920860842,0.0
120.0,30.0,1e-06,1.625,arca,62.8625268162579,0.0
120.0,30.0,1e-06,1.625,orca,52.91115387699463,0.0
120.0,30.0,1e-06,1.625,combined,60.260750267952844,0.0
120.0,30.0,1e-06,1.6875,arca,55.837046264376156,0.0
120.0,30.0,1e-06,1.6875,orca,52.91115387699463,0.0
120.0,30.0,1e-06,1.6875,combined,51.46008182850289,0.0
120.0,30.0,1e-06,1.75,arca,55.837046264376156,0.0
120.0,30.0,1e-06,1.75,orca,52.91115387699463,0.0
120.0,30.0,1e-06,1.75,combined,57.000471687999834,0.0
120.0,30.0,1e-06,1.8125,arca,55.837046264376156,0.0
120.0,30.0,1e-06,1.8125,orca,52.91115387699463,0.0
120.0,30.0,1e-06,1.8125,combined,57.000471687999834,0.0
120.0,30.0,1e-06,1.875,arca,55.837046264376156,0.0
120.0,30.0,1e-06,1.875,orca,52.91115387699463,0.0
120.0,30.0,1e-06,1.875,combined,57.000471687999834,0.0
120.0,30.0,1e-06,1.9375,arca,55.837046264376156,0.0
120.0,30.0,1e-06,1.9375,orca,52.91115387699463,0.0
120.0,30.0,1e-06,1.9375,combined,57.000471687999834,0.0
120.0,30.0,1e-06,2.0,arca,55.837046264376156,0.0
120.0,30.0,1e-06,2.0,orca,52.91115387699463,0.0
120.0,30.0,1e-06,2.0,combined,57.000471687999834,0.0
120.0,30.0,1e-06,2.0625,arca,55.837046264376156,0.0
120.0,30.0,1e-06,2.0625,orca,52.91115387699463,0.0
120.0,30.0,1e-06,2.0625,combined,57.000471687999834,0.0
120.0,30.0,1e-06,2.125,arca,55.837046264376156,0.0
120.0,30.0,1e-06,2.125,orca,52.91115387699463,0.0
120.0,30.0,1e-06,2.125,combined,57.000471687999834,0.0
120.0,30.0,1e-06,2.1875,arca,55.837046264376156,0.0
120.0,30.0,1e-06,2.1875,orca,52.91115387699463,0.0
120.0,30.0,1e-06,2.1875,combined,57.000471687999834,0.0
120.0,30.0,1e-06,2.25,arca,55.837046264376156,0.0
120.0,30.0,1e-06,2.25,orca,52.91115387699463,0.0
120.0,30.0,1e-06,2.25,combined,57.000471687999834,0.0
120.0,30.0,1e-06,2.3125,arca,55.837046264376156,0.0
120.0,30.0,1e-06,2.3125,orca,52.91115387699463,0.0
120.0,30.0,1e-06,2.3125,combined,57.000471687999834,0.0
120.0,30.0,1e-06,2.375,arca,55.837046264376156,0.0
120.0,30.0,1e-06,2.375,orca,52.91115387699463,0.0
120.0,30.0,1e-06,2.375,combined,57.000471687999834,0.0
120.0,30.0,1e-06,2.4375,arca,55.837046264376156,0.0
120.0,30.0,1e-06,2.4375,orca,52.91115387699463,0.0
120.0,30.0,1e-06,2.4375,combined,57.000471687999834,0.0
120.0,30.0,1e-06,2.5,arca,55.837046264376156,0.0
120.0,30.0,1e-06,2.5,orca,52.91115387699463,0.0
120.0,30.0,1e-06,2.5,combined,57.000471687999834,0.0
120.0,30.0,1e-06,2.5625,arca,55.837046264376156,0.0
120.0,30.0,1e-06,2.5625,orca,52.91115387699463,0.0
120.0,30.0,1e-06,2.5625,combined,57.000471687999834,0.0
120.0,30.0,1e-06,2.625,arca,55.837046264376156,0.0
120.0,30.0,1e-06,2.625,orca,52.91115387699463,0.0
120.0,30.0,1e-06,2.625,combined,57.000471687999834,0.0
120.0,30.0,1e-06,2.6875,arca,55.837046264376156,0.0
120.0,30.0,1e-06,2.6875,orca,52.91115387699463,0.0
120.0,30.0,1e-06,2.6875,combined,57.000471687999834,0.0
120.0,30.0,1e-06,2.75,arca,55.837046264376156,0.0
120.0,30.0,1e-06,2.75,orca,52.91115387699463,0.0
120.0,30.0,1e-06,2.75,combined,57.000471687999834,0.0
120.0,30.0,1e-06,2.8125,arca,55.837046264376156,0.0
120.0,30.0,1e-06,2.8125,orca,52.91115387699463,0.0
120.0,30.0,1e-06,2.8125,combined,57.000471687999834,0.0
120.0,30.0,1e-06,2.875,arca,55.837046264376156,0.0
120.0,30.0,1e-06,2.875,orca,52.91115387699463,0.0
120.0,30.0,1e-06,2.875,combined,57.000471687999834,0.0
120.0,30.0,1e-06,2.9375,arca,55.837046264376156,0.0
120.0,30.0,1e-06,2.9375,orca,52.91115387699463,0.0
120.0,30.0,1e-06,2.9375,combined,57.000471687999834,0.0
120.0,30.0,1e-06,3.0,arca,55.837046264376156,0.0
120.0,30.0,1e-06,3.0,orca,52.91115387699463,0.0
120.0,30.0,1e-06,3.0,combined,57.000471687999834,0.0
120.0,30.0,2.8729848333536627e-06,1.5,arca,58.66887264110047,0.0
120.0,30.0,2.8729848333536627e-06,1.5,orca,52.91115387699463,0.0
120.0,30.0,2.8729848333536627e-06,1.5,combined,53.958582919733004,0.0
120.0,30.0,2.8729848333536627e-06,1.5625,arca,59.05833935018052,0.0
120.0,30.0,2.8729848333536627e-06,1.5625,orca,52.91115387699463,0.0
120.0,30.0,2.8729848333536627e-06,1.5625,combined,50.0564778367277,0.0
120.0,30.0,2.8729848333536627e-06,1.625,arca,55.837046264376156,0.0
120.0,30.0,2.8729848333536627e-06,1.625,orca,52.91115387699463,0.0
120.0,30.0,2.8729848333536627e-06,1.625,combined,65.0078422969788,0.0
120.0,30.0,2.8729848333536627e-06,1.6875,arca,55.837046264376156,0.0
120.0,30.0,2.8729848333536627e-06,1.6875,orca,52.91115387699463,0.0
120.0,30.0,2.8729848333536627e-06,1.6875,combined,57.000471687999834,0.0
120.0,30.0,2.8729848333536627e-06,1.75,arca,55.38832759169729,0.0
120.0,30.0,2.8729848333536627e-06,1.75,orca,52.91115387699463,0.0
120.0,30.0,2.8729848333536627e-06,1.75,combined,57.000471687999834,0.0
120.0,30.0,2.8729848333536627e-06,1.8125,arca,55.837046264376156,0.0
120.0,30.0,2.8729848333536627e-06,1.8125,orca,52.91115387699463,0.0
120.0,30.0,2.8729848333536627e-06,1.8125,combined,57.000471687999834,0.0
120.0,30.0,2.8729848333536627e-06,1.875,arca,55.837046264376156,0.0
120.0,30.0,2.8729848333536627e-06,1.875,orca,52.91115387699463,0.0
120.0,30.0,2.8729848333536627e-06,1.875,combined,57.000471687999834,0.0
120.0,30.0,2.8729848333536627e-06,1.9375,arca,55.837046264376156,0.0
120.0,30.0,2.8729848333536627e-06,1.9375,orca,52.91115387699463,0.0
120.0,30.0,2.8729848333536627e-06,1.9375,combined,57.000471687999834,0.0
120.0,30.0,2.8729848333536627e-06,2.0,arca,55.837046264376156,0.0
120.0,30.0,2.8729848333536627e-06,2.0,orca,52.91115387699463,0.0
120.0,30.0,2.8729848333536627e-06,2.0,combined,57.000471687999834,0.0
120.0,30.0,2.8729848333536627e-06,2.0625,arca,55.837046264376156,0.0
120.0,30.0,2.8729848333536627e-06,2.0625,orca,52.91115387699463,0.0
120.0,30.0,2.8729848333536627e-06,2.0625,combined,57.000471687999834,0.0
120.0,30.0,2.8729848333536627e-06,2.125,arca,55.837046264376156,0.0
120.0,30.0,2.8729848333536627e-06,2.125,orca,52.91115387699463,0.0
120.0,30.0,2.8729848333536627e-06,2.125,combined,57.000471687999834,0.0
120.0,30.0,2.8729848333536627e-06,2.1875,arca,55.837046264376156,0.0
120.0,30.0,2.8729848333536627e-06,2.1875,orca,52.91115387699463,0.0
120.0,30.0,2.8729848333536627e-06,2.1875,combined,57.000471687999834,0.0
120.0,30.0,2.8729848333536627e-06,2.25,arca,55.837046264376156,0.0
120.0,30.0,2.8729848333536627e-06,2.25,orca,52.91115387699463,0.0
120.0,30.0,2.8729848333536627e-06,2.25,combined,57.000471687999834,0.0
120.0,30.0,2.8729848333536627e-06,2.3125,arca,55.837046264376156,0.0
120.0,30.0,2.8729848333536627e-06,2.3125,orca,52.91115387699463,0.0
120.0,30.0,2.8729848333536627e-06,2.3125,combined,57.000471687999834,0.0
120.0,30.0,2.8729848333536627e-06,2.375,arca,55.837046264376156,0.0
120.0,30.0,2.8729848333536627e-06,2.375,orca,52.91115387699463,0.0
