zenith_cut,angle,phi0,gamma,detector,length_days,mean_max_efstat,mean_max_efstat_error
15.0,5.0,1e-14,1.5,arca,150.0,54.1725370086779,0.0
15.0,5.0,1e-14,1.5625,arca,150.0,55.5029374201788,0.0
15.0,5.0,1e-14,1.625,arca,150.0,58.79142200663773,0.0
15.0,5.0,1e-14,1.6875,arca,150.0,62.9491698595147,0.0
15.0,5.0,1e-14,1.75,arca,150.0,57.528089887640455,0.0
15.0,5.0,1e-14,1.8125,arca,150.0,60.9780360107266,0.0
15.0,5.0,1e-14,1.875,arca,150.0,56.94511105437836,0.0
15.0,5.0,1e-14,1.9375,arca,150.0,54.1725370086779,0.0
15.0,5.0,1e-14,2.0,arca,150.0,62.61082737487233,0.0
15.0,5.0,1e-14,2.0625,arca,150.0,54.1725370086779,0.0
15.0,5.0,1e-14,2.125,arca,150.0,57.61267245784363,0.0
15.0,5.0,1e-14,2.1875,arca,150.0,54.1725370086779,0.0
15.0,5.0,1e-14,2.25,arca,150.0,54.1725370086779,0.0
15.0,5.0,1e-14,2.3125,arca,150.0,54.1725370086779,0.0
15.0,5.0,1e-14,2.375,arca,150.0,66.97623306925632,0.0
15.0,5.0,1e-14,2.4375,arca,150.0,54.1725370086779,0.0
15.0,5.0,1e-14,2.5,arca,150.0,57.58638743455498,0.0
15.0,5.0,1e-14,2.5625,arca,150.0,55.418741223030764,0.0
15.0,5.0,1e-14,2.625,arca,150.0,54.1725370086779,0.0
15.0,5.0,1e-14,2.6875,arca,150.0,54.1725370086779,0.0
15.0,5.0,1e-14,2.75,arca,150.0,56.00561654327292,0.0
15.0,5.0,1e-14,2.8125,arca,150.0,54.1725370086779,0.0
15.0,5.0,1e-14,2.875,arca,150.0,54.1725370086779,0.0
15.0,5.0,1e-14,2.9375,arca,150.0,54.1725370086779,0.0
15.0,5.0,1e-14,3.0,arca,150.0,62.710637211084155,0.0
15.0,5.0,2.1544346900318866e-14,1.5,arca,150.0,56.94511105437836,0.0
15.0,5.0,2.1544346900318866e-14,1.5625,arca,150.0,60.15766628367164,0.0
15.0,5.0,2.1544346900318866e-14,1.625,arca,150.0,62.10117526826775,0.0
15.0,5.0,2.1544346900318866e-14,1.6875,arca,150.0,56.94511105437836,0.0
15.0,5.0,2.1544346900318866e-14,1.75,arca,150.0,60.42535787321064,0.0
15.0,5.0,2.1544346900318866e-14,1.8125,arca,150.0,57.511746680286016,0.0
15.0,5.0,2.1544346900318866e-14,1.875,arca,150.0,56.94511105437836,0.0
15.0,5.0,2.1544346900318866e-14,1.9375,arca,150.0,55.5628589661774,0.0
15.0,5.0,2.1544346900318866e-14,2.0,arca,150.0,58.023487362777644,0.0
15.0,5.0,2.1544346900318866e-14,2.0625,arca,150.0,60.15766628367164,0.0
15.0,5.0,2.1544346900318866e-14,2.125,arca,150.0,56.94511105437836,0.0
15.0,5.0,2.1544346900318866e-14,2.1875,arca,150.0,56.94511105437836,0.0
15.0,5.0,2.1544346900318866e-14,2.25,arca,150.0,58.15587897357334,0.0
15.0,5.0,2.1544346900318866e-14,2.3125,arca,150.0,54.1725370086779,0.0
15.0,5.0,2.1544346900318866e-14,2.375,arca,150.0,61.242718446601934,0.0
15.0,5.0,2.1544346900318866e-14,2.4375,arca,150.0,54.1725370086779,0.0
15.0,5.0,2.1544346900318866e-14,2.5,arca,150.0,69.72399693329925,0.0
15.0,5.0,2.1544346900318866e-14,2.5625,arca,150.0,54.1725370086779,0.0
15.0,5.0,2.1544346900318866e-14,2.625,arca,150.0,54.1725370086779,0.0
15.0,5.0,2.1544346900318866e-14,2.6875,arca,150.0,54.1725370086779,0.0
15.0,5.0,2.1544346900318866e-14,2.75,arca,150.0,54.57595098289508,0.0
15.0,5.0,2.1544346900318866e-14,2.8125,arca,150.0,54.1725370086779,0.0
15.0,5.0,2.1544346900318866e-14,2.875,arca,150.0,54.1725370086779,0.0
15.0,5.0,2.1544346900318866e-14,2.9375,arca,150.0,54.1725370086779,0.0
15.0,5.0,2.1544346900318866e-14,3.0,arca,150.0,56.94511105437836,0.0
15.0,5.0,4.6415888336127726e-14,1.5,arca,150.0,59.93456032719837,0.0
15.0,5.0,4.6415888336127726e-14,1.5625,arca,150.0,56.94511105437836,0.0
15.0,5.0,4.6415888336127726e-14,1.625,arca,150.0,55.97548518896835,0.0
15.0,5.0,4.6415888336127726e-14,1.6875,arca,150.0,60.74447425578127,0.0
15.0,5.0,4.6415888336127726e-14,1.75,arca,150.0,60.5480572597137,0.0
15.0,5.0,4.6415888336127726e-14,1.8125,arca,150.0,56.94511105437836,0.0
15.0,5.0,4.6415888336127726e-14,1.875,arca,150.0,63.49188705762106,0.0
15.0,5.0,4.6415888336127726e-14,1.9375,arca,150.0,56.72453408220577,0.0
15.0,5.0,4.6415888336127726e-14,2.0,arca,150.0,67.90597853857945,0.0
15.0,5.0,4.6415888336127726e-14,2.0625,arca,150.0,60.51436965129645,0.0
15.0,5.0,4.6415888336127726e-14,2.125,arca,150.0,54.1725370086779,0.0
15.0,5.0,4.6415888336127726e-14,2.1875,arca,150.0,52.797138477261115,0.0
15.0,5.0,4.6415888336127726e-14,2.25,arca,150.0,65.84045001278446,0.0
15.0,5.0,4.6415888336127726e-14,2.3125,arca,150.0,57.34938066658154,0.0
15.0,5.0,4.6415888336127726e-14,2.375,arca,150.0,56.94511105437836,0.0
15.0,5.0,4.6415888336127726e-14,2.4375,arca,150.0,55.64947005490997,0.0
15.0,5.0,4.6415888336127726e-14,2.5,arca,150.0,59.99029374201788,0.0
15.0,5.0,4.6415888336127726e-14,2.5625,arca,150.0,54.1725370086779,0.0
15.0,5.0,4.6415888336127726e-14,2.625,arca,150.0,61.86320091965767,0.0
15.0,5.0,4.6415888336127726e-14,2.6875,arca,150.0,54.1725370086779,0.0
15.0,5.0,4.6415888336127726e-14,2.75,arca,150.0,64.58829542550473,0.0
15.0,5.0,4.6415888336127726e-14,2.8125,arca,150.0,69.93662151801686,0.0
15.0,5.0,4.6415888336127726e-14,2.875,arca,150.0,61.52102773871916,0.0
15.0,5.0,4.6415888336127726e-14,2.9375,arca,150.0,60.592441266598584,0.0
15.0,5.0,4.6415888336127726e-14,3.0,arca,150.0,56.21445906246008,0.0
15.0,5.0,1e-13,1.5,arca,150.0,53.742660199132004,0.0
15.0,5.0,1e-13,1.5625,arca,150.0,63.5991054313099,0.0
15.0,5.0,1e-13,1.625,arca,150.0,62.51066819982113,0.0
15.0,5.0,1e-13,1.6875,arca,150.0,58.373195349431455,0.0
15.0,5.0,1e-13,1.75,arca,150.0,67.79969340827796,0.0
15.0,5.0,1e-13,1.8125,arca,150.0,61.57851028491121,0.0
15.0,5.0,1e-13,1.875,arca,150.0,62.15852723088725,0.0
15.0,5.0,1e-13,1.9375,arca,150.0,59.18270090711639,0.0
15.0,5.0,1e-13,2.0,arca,150.0,59.04369490226141,0.0
15.0,5.0,1e-13,2.0625,arca,150.0,67.64766773162938,0.0
15.0,5.0,1e-13,2.125,arca,150.0,68.26833631484794,0.0
15.0,5.0,1e-13,2.1875,arca,150.0,63.50006388143606,0.0
15.0,5.0,1e-13,2.25,arca,150.0,61.2760736196319,0.0
15.0,5.0,1e-13,2.3125,arca,150.0,59.059304703476485,0.0
15.0,5.0,1e-13,2.375,arca,150.0,57.28979956593897,0.0
15.0,5.0,1e-13,2.4375,arca,150.0,57.6359918200409,0.0
15.0,5.0,1e-13,2.5,arca,150.0,54.1725370086779,0.0
15.0,5.0,1e-13,2.5625,arca,150.0,60.58516624040921,0.0
15.0,5.0,1e-13,2.625,arca,150.0,56.61287027579163,0.0
15.0,5.0,1e-13,2.6875,arca,150.0,58.78876117496807,0.0
15.0,5.0,1e-13,2.75,arca,150.0,63.713701431492844,0.0
15.0,5.0,1e-13,2.8125,arca,150.0,60.13315460232349,0.0
15.0,5.0,1e-13,2.875,arca,150.0,59.541576191084424,0.0
15.0,5.0,1e-13,2.9375,arca,150.0,56.81590705987489,0.0
15.0,5.0,1e-13,3.0,arca,150.0,58.73154533844189,0.0
15.0,5.0,2.1544346900318865e-13,1.5,arca,150.0,61.83199182317618,0.0
15.0,5.0,2.1544346900318865e-13,1.5625,arca,150.0,62.47820529208744,0.0
15.0,5.0,2.1544346900318865e-13,1.625,arca,150.0,55.9875974939266,0.0
15.0,5.0,2.1544346900318865e-13,1.6875,arca,150.0,64.50620125303669,0.0
15.0,5.0,2.1544346900318865e-13,1.75,arca,150.0,62.67488817891374,0.0
15.0,5.0,2.1544346900318865e-13,1.8125,arca,150.0,65.29243353783232,0.0
15.0,5.0,2.1544346900318865e-13,1.875,arca,150.0,55.739841553795046,0.0
15.0,5.0,2.1544346900318865e-13,1.9375,arca,150.0,63.41164453524005,0.0
15.0,5.0,2.1544346900318865e-13,2.0,arca,150.0,59.796064400715565,0.0
15.0,5.0,2.1544346900318865e-13,2.0625,arca,150.0,62.32652279402375,0.0
15.0,5.0,2.1544346900318865e-13,2.125,arca,150.0,61.616858237547895,0.0
15.0,5.0,2.1544346900318865e-13,2.1875,arca,150.0,61.218813905930475,0.0
15.0,5.0,2.1544346900318865e-13,2.25,arca,150.0,67.23872204472843,0.0
15.0,5.0,2.1544346900318865e-13,2.3125,arca,150.0,66.5357873210634,0.0
15.0,5.0,2.1544346900318865e-13,2.375,arca,150.0,57.8477566151093,0.0
15.0,5.0,2.1544346900318865e-13,2.4375,arca,150.0,58.11960132890365,0.0
15.0,5.0,2.1544346900318865e-13,2.5,arca,150.0,66.42083067092652,0.0
15.0,5.0,2.1544346900318865e-13,2.5625,arca,150.0,56.50473024801842,0.0
15.0,5.0,2.1544346900318865e-13,2.625,arca,150.0,60.40023009075802,0.0
15.0,5.0,2.1544346900318865e-13,2.6875,arca,150.0,56.01214678429868,0.0
15.0,5.0,2.1544346900318865e-13,2.75,arca,150.0,60.9780360107266,0.0
15.0,5.0,2.1544346900318865e-13,2.8125,arca,150.0,64.03220035778175,0.0
15.0,5.0,2.1544346900318865e-13,2.875,arca,150.0,62.74846625766871,0.0
15.0,5.0,2.1544346900318865e-13,2.9375,arca,150.0,54.1725370086779,0.0
15.0,5.0,2.1544346900318865e-13,3.0,arca,150.0,61.586101175268254,0.0
15.0,5.0,4.641588833612772e-13,1.5,arca,150.0,66.14314928425358,0.0
15.0,5.0,4.641588833612772e-13,1.5625,arca,150.0,63.15746421267894,0.0
15.0,5.0,4.641588833612772e-13,1.625,arca,150.0,60.49929712460064,0.0
15.0,5.0,4.641588833612772e-13,1.6875,arca,150.0,66.34764826175868,0.0
15.0,5.0,4.641588833612772e-13,1.75,arca,150.0,63.287650217335724,0.0
15.0,5.0,4.641588833612772e-13,1.8125,arca,150.0,59.66300178982358,0.0
15.0,5.0,4.641588833612772e-13,1.875,arca,150.0,54.99590635793783,0.0
15.0,5.0,4.641588833612772e-13,1.9375,arca,150.0,60.06277969569108,0.0
15.0,5.0,4.641588833612772e-13,2.0,arca,150.0,61.64434504792333,0.0
15.0,5.0,4.641588833612772e-13,2.0625,arca,150.0,60.71928927521411,0.0
15.0,5.0,4.641588833612772e-13,2.125,arca,150.0,58.60194174757281,0.0
15.0,5.0,4.641588833612772e-13,2.1875,arca,150.0,58.910253132191265,0.0
15.0,5.0,4.641588833612772e-13,2.25,arca,150.0,64.57166602736223,0.0
15.0,5.0,4.641588833612772e-13,2.3125,arca,150.0,56.98977505112474,0.0
15.0,5.0,4.641588833612772e-13,2.375,arca,150.0,53.95706618962433,0.0
15.0,5.0,4.641588833612772e-13,2.4375,arca,150.0,55.4038338658147,0.0
15.0,5.0,4.641588833612772e-13,2.5,arca,150.0,61.48607918263091,0.0
15.0,5.0,4.641588833612772e-13,2.5625,arca,150.0,56.03461489334525,0.0
15.0,5.0,4.641588833612772e-13,2.625,arca,150.0,63.15716841298237,0.0
15.0,5.0,4.641588833612772e-13,2.6875,arca,150.0,56.99872204472844,0.0
15.0,5.0,4.641588833612772e-13,2.75,arca,150.0,64.30222449501407,0.0
15.0,5.0,4.641588833612772e-13,2.8125,arca,150.0,56.75389726552517,0.0
15.0,5.0,4.641588833612772e-13,2.875,arca,150.0,61.774144098109346,0.0
15.0,5.0,4.641588833612772e-13,2.9375,arca,150.0,66.99411990285057,0.0
15.0,5.0,4.641588833612772e-13,3.0,arca,150.0,64.08997955010224,0.0
15.0,5.0,1e-12,1.5,arca,150.0,57.45683591252078,0.0
15.0,5.0,1e-12,1.5625,arca,150.0,67.81855353948377,0.0
15.0,5.0,1e-12,1.625,arca,150.0,54.96135142052726,0.0
15.0,5.0,1e-12,1.6875,arca,150.0,53.84257602862254,0.0
15.0,5.0,1e-12,1.75,arca,150.0,56.5480572597137,0.0
15.0,5.0,1e-12,1.8125,arca,150.0,69.42358357846271,0.0
15.0,5.0,1e-12,1.875,arca,150.0,59.16263904871499,0.0
15.0,5.0,1e-12,1.9375,arca,150.0,62.87936102236422,0.0
15.0,5.0,1e-12,2.0,arca,150.0,59.059304703476485,0.0
15.0,5.0,1e-12,2.0625,arca,150.0,62.084090618200435,0.0
15.0,5.0,1e-12,2.125,arca,150.0,59.58670076726343,0.0
