zenith_cut,angle,phi0,gamma,detector,mean_max_efstat,mean_max_efstat_error
60.0,30.0,1e-06,1.5,arca,59.47570588640064,0.0
60.0,30.0,1e-06,1.5,orca,54.6267595179292,0.0
60.0,30.0,1e-06,1.5,combined,60.87929953031917,0.0
60.0,30.0,1e-06,1.5625,arca,53.8439515542872,0.0
60.0,30.0,1e-06,1.5625,orca,54.6267595179292,0.0
60.0,30.0,1e-06,1.5625,combined,68.5411756573589,0.0
60.0,30.0,1e-06,1.625,arca,60.68777072649492,0.0
60.0,30.0,1e-06,1.625,orca,54.6267595179292,0.0
60.0,30.0,1e-06,1.625,combined,68.5411756573589,0.0
60.0,30.0,1e-06,1.6875,arca,60.68777072649492,0.0
60.0,30.0,1e-06,1.6875,orca,54.6267595179292,0.0
60.0,30.0,1e-06,1.6875,combined,68.5411756573589,0.0
60.0,30.0,1e-06,1.75,arca,60.68777072649492,0.0
60.0,30.0,1e-06,1.75,orca,54.6267595179292,0.0
60.0,30.0,1e-06,1.75,combined,68.5411756573589,0.0
60.0,30.0,1e-06,1.8125,arca,60.68777072649492,0.0
60.0,30.0,1e-06,1.8125,orca,54.6267595179292,0.0
60.0,30.0,1e-06,1.8125,combined,68.5411756573589,0.0
60.0,30.0,1e-06,1.875,arca,60.68777072649492,0.0
60.0,30.0,1e-06,1.875,orca,54.6267595179292,0.0
60.0,30.0,1e-06,1.875,combined,68.5411756573589,0.0
60.0,30.0,1e-06,1.9375,arca,60.68777072649492,0.0
60.0,30.0,1e-06,1.9375,orca,54.6267595179292,0.0
60.0,30.0,1e-06,1.9375,combined,68.5411756573589,0.0
60.0,30.0,1e-06,2.0,arca,60.68777072649492,0.0
60.0,30.0,1e-06,2.0,orca,54.6267595179292,0.0
60.0,30.0,1e-06,2.0,combined,68.5411756573589,0.0
60.0,30.0,1e-06,2.0625,arca,60.68777072649492,0.0
60.0,30.0,1e-06,2.0625,orca,54.6267595179292,0.0
60.0,30.0,1e-06,2.0625,combined,68.5411756573589,0.0
60.0,30.0,1e-06,2.125,arca,60.68777072649492,0.0
60.0,30.0,1e-06,2.125,orca,54.6267595179292,0.0
60.0,30.0,1e-06,2.125,combined,68.5411756573589,0.0
60.0,30.0,1e-06,2.1875,arca,60.68777072649492,0.0
60.0,30.0,1e-06,2.1875,orca,54.6267595179292,0.0
60.0,30.0,1e-06,2.1875,combined,68.5411756573589,0.0
60.0,30.0,1e-06,2.25,arca,60.68777072649492,0.0
60.0,30.0,1e-06,2.25,orca,54.6267595179292,0.0
60.0,30.0,1e-06,2.25,combined,68.5411756573589,0.0
60.0,30.0,1e-06,2.3125,arca,60.68777072649492,0.0
60.0,30.0,1e-06,2.3125,orca,54.6267595179292,0.0
60.0,30.0,1e-06,2.3125,combined,68.5411756573589,0.0
60.0,30.0,1e-06,2.375,arca,60.68777072649492,0.0
60.0,30.0,1e-06,2.375,orca,54.6267595179292,0.0
60.0,30.0,1e-06,2.375,combined,68.5411756573589,0.0
60.0,30.0,1e-06,2.4375,arca,60.68777072649492,0.0
60.0,30.0,1e-06,2.4375,orca,54.6267595179292,0.0
60.0,30.0,1e-06,2.4375,combined,68.5411756573589,0.0
60.0,30.0,1e-06,2.5,arca,60.68777072649492,0.0
60.0,30.0,1e-06,2.5,orca,54.6267595179292,0.0
60.0,30.0,1e-06,2.5,combined,68.5411756573589,0.0
60.0,30.0,1e-06,2.5625,arca,60.68777072649492,0.0
60.0,30.0,1e-06,2.5625,orca,54.6267595179292,0.0
60.0,30.0,1e-06,2.5625,combined,68.5411756573589,0.0
60.0,30.0,1e-06,2.625,arca,60.68777072649492,0.0
60.0,30.0,1e-06,2.625,orca,54.6267595179292,0.0
60.0,30.0,1e-06,2.625,combined,68.5411756573589,0.0
60.0,30.0,1e-06,2.6875,arca,60.68777072649492,0.0
60.0,30.0,1e-06,2.6875,orca,54.6267595179292,0.0
60.0,30.0,1e-06,2.6875,combined,68.5411756573589,0.0
60.0,30.0,1e-06,2.75,arca,60.68777072649492,0.0
60.0,30.0,1e-06,2.75,orca,54.6267595179292,0.0
60.0,30.0,1e-06,2.75,combined,68.5411756573589,0.0
60.0,30.0,1e-06,2.8125,arca,60.68777072649492,0.0
60.0,30.0,1e-06,2.8125,orca,54.6267595179292,0.0
60.0,30.0,1e-06,2.8125,combined,68.5411756573589,0.0
60.0,30.0,1e-06,2.875,arca,60.68777072649492,0.0
60.0,30.0,1e-06,2.875,orca,54.6267595179292,0.0
60.0,30.0,1e-06,2.875,combined,68.5411756573589,0.0
60.0,30.0,1e-06,2.9375,arca,60.68777072649492,0.0
60.0,30.0,1e-06,2.9375,orca,54.6267595179292,0.0
60.0,30.0,1e-06,2.9375,combined,68.5411756573589,0.0
60.0,30.0,1e-06,3.0,arca,60.68777072649492,0.0
60.0,30.0,1e-06,3.0,orca,54.6267595179292,0.0
60.0,30.0,1e-06,3.0,combined,68.5411756573589,0.0
60.0,30.0,2.8729848333536627e-06,1.5,arca,60.7500354182222,0.0
60.0,30.0,2.8729848333536627e-06,1.5,orca,59.0198978066867,0.0
60.0,30.0,2.8729848333536627e-06,1.5,combined,57.697161688040794,0.0
60.0,30.0,2.8729848333536627e-06,1.5625,arca,65.93454802421743,0.0
60.0,30.0,2.8729848333536627e-06,1.5625,orca,54.6267595179292,0.0
60.0,30.0,2.8729848333536627e-06,1.5625,combined,66.24458360325345,0.0
60.0,30.0,2.8729848333536627e-06,1.625,arca,60.12750531415768,0.0
60.0,30.0,2.8729848333536627e-06,1.625,orca,54.6267595179292,0.0
60.0,30.0,2.8729848333536627e-06,1.625,combined,63.11062417078399,0.0
60.0,30.0,2.8729848333536627e-06,1.6875,arca,63.180792646760565,0.0
60.0,30.0,2.8729848333536627e-06,1.6875,orca,54.6267595179292,0.0
60.0,30.0,2.8729848333536627e-06,1.6875,combined,57.722403912508625,0.0
60.0,30.0,2.8729848333536627e-06,1.75,arca,60.68777072649492,0.0
60.0,30.0,2.8729848333536627e-06,1.75,orca,54.6267595179292,0.0
60.0,30.0,2.8729848333536627e-06,1.75,combined,68.5411756573589,0.0
60.0,30.0,2.8729848333536627e-06,1.8125,arca,60.68777072649492,0.0
60.0,30.0,2.8729848333536627e-06,1.8125,orca,54.6267595179292,0.0
60.0,30.0,2.8729848333536627e-06,1.8125,combined,68.5411756573589,0.0
60.0,30.0,2.8729848333536627e-06,1.875,arca,60.68777072649492,0.0
60.0,30.0,2.8729848333536627e-06,1.875,orca,54.6267595179292,0.0
60.0,30.0,2.8729848333536627e-06,1.875,combined,68.5411756573589,0.0
60.0,30.0,2.8729848333536627e-06,1.9375,arca,60.68777072649492,0.0
60.0,30.0,2.8729848333536627e-06,1.9375,orca,54.6267595179292,0.0
60.0,30.0,2.8729848333536627e-06,1.9375,combined,68.5411756573589,0.0
60.0,30.0,2.8729848333536627e-06,2.0,arca,60.68777072649492,0.0
60.0,30.0,2.8729848333536627e-06,2.0,orca,54.6267595179292,0.0
60.0,30.0,2.8729848333536627e-06,2.0,combined,68.5411756573589,0.0
60.0,30.0,2.8729848333536627e-06,2.0625,arca,60.68777072649492,0.0
60.0,30.0,2.8729848333536627e-06,2.0625,orca,54.6267595179292,0.0
60.0,30.0,2.8729848333536627e-06,2.0625,combined,68.5411756573589,0.0
60.0,30.0,2.8729848333536627e-06,2.125,arca,60.68777072649492,0.0
60.0,30.0,2.8729848333536627e-06,2.125,orca,54.6267595179292,0.0
60.0,30.0,2.8729848333536627e-06,2.125,combined,68.5411756573589,0.0
60.0,30.0,2.8729848333536627e-06,2.1875,arca,60.68777072649492,0.0
60.0,30.0,2.8729848333536627e-06,2.1875,orca,54.6267595179292,0.0
60.0,30.0,2.8729848333536627e-06,2.1875,combined,68.5411756573589,0.0
60.0,30.0,2.8729848333536627e-06,2.25,arca,60.68777072649492,0.0
60.0,30.0,2.8729848333536627e-06,2.25,orca,54.6267595179292,0.0
60.0,30.0,2.8729848333536627e-06,2.25,combined,68.5411756573589,0.0
60.0,30.0,2.8729848333536627e-06,2.3125,arca,60.68777072649492,0.0
60.0,30.0,2.8729848333536627e-06,2.3125,orca,54.6267595179292,0.0
60.0,30.0,2.8729848333536627e-06,2.3125,combined,68.5411756573589,0.0
60.0,30.0,2.8729848333536627e-06,2.375,arca,60.68777072649492,0.0
60.0,30.0,2.8729848333536627e-06,2.375,orca,54.6267595179292,0.0
60.0,30.0,2.8729848333536627e-06,2.375,combined,68.5411756573589,0.0
60.0,30.0,2.8729848333536627e-06,2.4375,arca,60.68777072649492,0.0
60.0,30.0,2.8729848333536627e-06,2.4375,orca,54.6267595179292,0.0
60.0,30.0,2.8729848333536627e-06,2.4375,combined,68.5411756573589,0.0
60.0,30.0,2.8729848333536627e-06,2.5,arca,60.68777072649492,0.0
60.0,30.0,2.8729848333536627e-06,2.5,orca,54.6267595179292,0.0
60.0,30.0,2.8729848333536627e-06,2.5,combined,68.5411756573589,0.0
60.0,30.0,2.8729848333536627e-06,2.5625,arca,60.68777072649492,0.0
60.0,30.0,2.8729848333536627e-06,2.5625,orca,54.6267595179292,0.0
60.0,30.0,2.8729848333536627e-06,2.5625,combined,68.5411756573589,0.0
60.0,30.0,2.8729848333536627e-06,2.625,arca,60.68777072649492,0.0
60.0,30.0,2.8729848333536627e-06,2.625,orca,54.6267595179292,0.0
60.0,30.0,2.8729848333536627e-06,2.625,combined,68.5411756573589,0.0
60.0,30.0,2.8729848333536627e-06,2.6875,arca,60.68777072649492,0.0
