zenith_cut,angle,phi0,gamma,detector,mean_max_efstat,mean_max_efstat_error
120.0,30.0,1e-14,1.5,arca,61.16053420550559,0.0
120.0,30.0,1e-14,1.5625,arca,61.16053420550559,0.0
120.0,30.0,1e-14,1.625,arca,61.16053420550559,0.0
120.0,30.0,1e-14,1.6875,arca,61.16053420550559,0.0
120.0,30.0,1e-14,1.75,arca,61.16053420550559,0.0
120.0,30.0,1e-14,1.8125,arca,61.16053420550559,0.0
120.0,30.0,1e-14,1.875,arca,59.96770677203979,0.0
120.0,30.0,1e-14,1.9375,arca,61.16053420550559,0.0
120.0,30.0,1e-14,2.0,arca,61.16053420550559,0.0
120.0,30.0,1e-14,2.0625,arca,61.16053420550559,0.0
120.0,30.0,1e-14,2.125,arca,61.16053420550559,0.0
120.0,30.0,1e-14,2.1875,arca,61.16053420550559,0.0
120.0,30.0,1e-14,2.25,arca,63.57173824685002,0.0
120.0,30.0,1e-14,2.3125,arca,61.16053420550559,0.0
120.0,30.0,1e-14,2.375,arca,61.16053420550559,0.0
120.0,30.0,1e-14,2.4375,arca,61.16053420550559,0.0
120.0,30.0,1e-14,2.5,arca,61.16053420550559,0.0
120.0,30.0,1e-14,2.5625,arca,61.16053420550559,0.0
120.0,30.0,1e-14,2.625,arca,61.16053420550559,0.0
120.0,30.0,1e-14,2.6875,arca,61.16053420550559,0.0
120.0,30.0,1e-14,2.75,arca,61.16053420550559,0.0
120.0,30.0,1e-14,2.8125,arca,61.16053420550559,0.0
120.0,30.0,1e-14,2.875,arca,61.16053420550559,0.0
120.0,30.0,1e-14,2.9375,arca,61.16053420550559,0.0
120.0,30.0,1e-14,3.0,arca,61.16053420550559,0.0
120.0,30.0,2.1544346900318866e-14,1.5,arca,61.16053420550559,0.0
120.0,30.0,2.1544346900318866e-14,1.5625,arca,61.16053420550559,0.0
120.0,30.0,2.1544346900318866e-14,1.625,arca,61.16053420550559,0.0
120.0,30.0,2.1544346900318866e-14,1.6875,arca,54.49925885999191,0.0
120.0,30.0,2.1544346900318866e-14,1.75,arca,61.16053420550559,0.0
120.0,30.0,2.1544346900318866e-14,1.8125,arca,61.16053420550559,0.0
120.0,30.0,2.1544346900318866e-14,1.875,arca,61.16053420550559,0.0
120.0,30.0,2.1544346900318866e-14,1.9375,arca,61.16053420550559,0.0
120.0,30.0,2.1544346900318866e-14,2.0,arca,61.16053420550559,0.0
120.0,30.0,2.1544346900318866e-14,2.0625,arca,61.16053420550559,0.0
120.0,30.0,2.1544346900318866e-14,2.125,arca,61.16053420550559,0.0
120.0,30.0,2.1544346900318866e-14,2.1875,arca,62.317544576017426,0.0
120.0,30.0,2.1544346900318866e-14,2.25,arca,61.16053420550559,0.0
120.0,30.0,2.1544346900318866e-14,2.3125,arca,61.16053420550559,0.0
120.0,30.0,2.1544346900318866e-14,2.375,arca,61.16053420550559,0.0
120.0,30.0,2.1544346900318866e-14,2.4375,arca,61.16053420550559,0.0
120.0,30.0,2.1544346900318866e-14,2.5,arca,61.16053420550559,0.0
120.0,30.0,2.1544346900318866e-14,2.5625,arca,61.16053420550559,0.0
120.0,30.0,2.1544346900318866e-14,2.625,arca,61.16053420550559,0.0
120.0,30.0,2.1544346900318866e-14,2.6875,arca,61.16053420550559,0.0
120.0,30.0,2.1544346900318866e-14,2.75,arca,61.16053420550559,0.0
120.0,30.0,2.1544346900318866e-14,2.8125,arca,61.16053420550559,0.0
120.0,30.0,2.1544346900318866e-14,2.875,arca,61.16053420550559,0.0
120.0,30.0,2.1544346900318866e-14,2.9375,arca,61.16053420550559,0.0
120.0,30.0,2.1544346900318866e-14,3.0,arca,61.16053420550559,0.0
120.0,30.0,4.6415888336127726e-14,1.5,arca,61.16053420550559,0.0
120.0,30.0,4.6415888336127726e-14,1.5625,arca,54.775477278838395,0.0
120.0,30.0,4.6415888336127726e-14,1.625,arca,58.76639178045154,0.0
120.0,30.0,4.6415888336127726e-14,1.6875,arca,61.16053420550559,0.0
120.0,30.0,4.6415888336127726e-14,1.75,arca,54.38814895351999,0.0
120.0,30.0,4.6415888336127726e-14,1.8125,arca,61.16053420550559,0.0
120.0,30.0,4.6415888336127726e-14,1.875,arca,56.92182672934857,0.0
120.0,30.0,4.6415888336127726e-14,1.9375,arca,61.16053420550559,0.0
120.0,30.0,4.6415888336127726e-14,2.0,arca,61.16053420550559,0.0
120.0,30.0,4.6415888336127726e-14,2.0625,arca,53.84237516869095,0.0
120.0,30.0,4.6415888336127726e-14,2.125,arca,61.16053420550559,0.0
120.0,30.0,4.6415888336127726e-14,2.1875,arca,61.16053420550559,0.0
120.0,30.0,4.6415888336127726e-14,2.25,arca,52.50249696315292,0.0
120.0,30.0,4.6415888336127726e-14,2.3125,arca,61.16053420550559,0.0
120.0,30.0,4.6415888336127726e-14,2.375,arca,61.16053420550559,0.0
120.0,30.0,4.6415888336127726e-14,2.4375,arca,52.216762618824475,0.0
120.0,30.0,4.6415888336127726e-14,2.5,arca,62.94893272088626,0.0
120.0,30.0,4.6415888336127726e-14,2.5625,arca,58.54545454545455,0.0
120.0,30.0,4.6415888336127726e-14,2.625,arca,61.16053420550559,0.0
120.0,30.0,4.6415888336127726e-14,2.6875,arca,61.16053420550559,0.0
120.0,30.0,4.6415888336127726e-14,2.75,arca,61.16053420550559,0.0
120.0,30.0,4.6415888336127726e-14,2.8125,arca,61.16053420550559,0.0
120.0,30.0,4.6415888336127726e-14,2.875,arca,56.778653976886474,0.0
120.0,30.0,4.6415888336127726e-14,2.9375,arca,61.16053420550559,0.0
