zenith_cut,angle,phi0,gamma,detector,length_days,mean_max_efstat,mean_max_efstat_error
60.0,5.0,1e-14,1.5,arca,150.0,59.74396628783042,0.0
60.0,5.0,1e-14,1.5625,arca,150.0,58.607968330992215,0.0
60.0,5.0,1e-14,1.625,arca,150.0,54.1725370086779,0.0
60.0,5.0,1e-14,1.6875,arca,150.0,54.1725370086779,0.0
60.0,5.0,1e-14,1.75,arca,150.0,54.1725370086779,0.0
60.0,5.0,1e-14,1.8125,arca,150.0,57.888775379900395,0.0
60.0,5.0,1e-14,1.875,arca,150.0,55.55923322683706,0.0
60.0,5.0,1e-14,1.9375,arca,150.0,57.69443025038323,0.0
60.0,5.0,1e-14,2.0,arca,150.0,54.1725370086779,0.0
60.0,5.0,1e-14,2.0625,arca,150.0,54.1725370086779,0.0
60.0,5.0,1e-14,2.125,arca,150.0,56.53282247765007,0.0
60.0,5.0,1e-14,2.1875,arca,150.0,64.359918200409,0.0
60.0,5.0,1e-14,2.25,arca,150.0,54.1725370086779,0.0
60.0,5.0,1e-14,2.3125,arca,150.0,54.1725370086779,0.0
60.0,5.0,1e-14,2.375,arca,150.0,57.371505170432776,0.0
60.0,5.0,1e-14,2.4375,arca,150.0,54.1725370086779,0.0
60.0,5.0,1e-14,2.5,arca,150.0,54.1725370086779,0.0
60.0,5.0,1e-14,2.5625,arca,150.0,54.1725370086779,0.0
60.0,5.0,1e-14,2.625,arca,150.0,54.1725370086779,0.0
60.0,5.0,1e-14,2.6875,arca,150.0,58.56106285130301,0.0
60.0,5.0,1e-14,2.75,arca,150.0,54.1725370086779,0.0
60.0,5.0,1e-14,2.8125,arca,150.0,54.1725370086779,0.0
60.0,5.0,1e-14,2.875,arca,150.0,54.1725370086779,0.0
60.0,5.0,1e-14,2.9375,arca,150.0,54.1725370086779,0.0
60.0,5.0,1e-14,3.0,arca,150.0,54.1725370086779,0.0
60.0,5.0,2.1544346900318866e-14,1.5,arca,150.0,54.1725370086779,0.0
60.0,5.0,2.1544346900318866e-14,1.5625,arca,150.0,65.68327584004089,0.0
60.0,5.0,2.1544346900318866e-14,1.625,arca,150.0,61.36690923018,0.0
60.0,5.0,2.1544346900318866e-14,1.6875,arca,150.0,54.1725370086779,0.0
60.0,5.0,2.1544346900318866e-14,1.75,arca,150.0,64.7882503192848,0.0
60.0,5.0,2.1544346900318866e-14,1.8125,arca,150.0,56.589324479632225,0.0
60.0,5.0,2.1544346900318866e-14,1.875,arca,150.0,56.94511105437836,0.0
60.0,5.0,2.1544346900318866e-14,1.9375,arca,150.0,54.1725370086779,0.0
60.0,5.0,2.1544346900318866e-14,2.0,arca,150.0,65.45849297573436,0.0
60.0,5.0,2.1544346900318866e-14,2.0625,arca,150.0,54.1725370086779,0.0
60.0,5.0,2.1544346900318866e-14,2.125,arca,150.0,54.1725370086779,0.0
60.0,5.0,2.1544346900318866e-14,2.1875,arca,150.0,53.253542703944845,0.0
60.0,5.0,2.1544346900318866e-14,2.25,arca,150.0,58.93208221626452,0.0
60.0,5.0,2.1544346900318866e-14,2.3125,arca,150.0,57.64930422571173,0.0
60.0,5.0,2.1544346900318866e-14,2.375,arca,150.0,54.1725370086779,0.0
60.0,5.0,2.1544346900318866e-14,2.4375,arca,150.0,62.13997445721584,0.0
60.0,5.0,2.1544346900318866e-14,2.5,arca,150.0,58.539895314694235,0.0
60.0,5.0,2.1544346900318866e-14,2.5625,arca,150.0,56.94511105437836,0.0
60.0,5.0,2.1544346900318866e-14,2.625,arca,150.0,54.1725370086779,0.0
60.0,5.0,2.1544346900318866e-14,2.6875,arca,150.0,59.97791395378527,0.0
