zenith_cut,angle,phi0,gamma,detector,length_days,mean_max_efstat,mean_max_efstat_error
0.0,30.0,1e-06,1.5,combined,150.0,76.8009780470951,0.0
0.0,30.0,1e-06,1.5625,combined,150.0,71.0649917975906,0.0
0.0,30.0,1e-06,1.625,combined,150.0,81.62701729125767,0.0
0.0,30.0,1e-06,1.6875,combined,150.0,81.62701729125767,0.0
0.0,30.0,1e-06,1.75,combined,150.0,81.62701729125767,0.0
0.0,30.0,1e-06,1.8125,combined,150.0,81.62701729125767,0.0
0.0,30.0,1e-06,1.875,combined,150.0,81.62701729125767,0.0
0.0,30.0,1e-06,1.9375,combined,150.0,81.62701729125767,0.0
0.0,30.0,1e-06,2.0,combined,150.0,81.62701729125767,0.0
0.0,30.0,1e-06,2.0625,combined,150.0,81.62701729125767,0.0
0.0,30.0,1e-06,2.125,combined,150.0,81.62701729125767,0.0
0.0,30.0,1e-06,2.1875,combined,150.0,81.62701729125767,0.0
0.0,30.0,1e-06,2.25,combined,150.0,81.62701729125767,0.0
0.0,30.0,1e-06,2.3125,combined,150.0,81.62701729125767,0.0
0.0,30.0,1e-06,2.375,combined,150.0,81.62701729125767,0.0
0.0,30.0,1e-06,2.4375,combined,150.0,81.62701729125767,0.0
0.0,30.0,1e-06,2.5,combined,150.0,81.62701729125767,0.0
0.0,30.0,1e-06,2.5625,combined,150.0,81.62701729125767,0.0
0.0,30.0,1e-06,2.625,combined,150.0,81.62701729125767,0.0
0.0,30.0,1e-06,2.6875,combined,150.0,81.62701729125767,0.0
0.0,30.0,1e-06,2.75,combined,150.0,81.62701729125767,0.0
0.0,30.0,1e-06,2.8125,combined,150.0,81.62701729125767,0.0
0.0,30.0,1e-06,2.875,combined,150.0,81.62701729125767,0.0
0.0,30.0,1e-06,2.9375,combined,150.0,81.62701729125767,0.0
0.0,30.0,1e-06,3.0,combined,150.0,81.62701729125767,0.0
0.0,30.0,2.8729848333536627e-06,1.5,combined,150.0,63.687091902928735,0.0
0.0,30.0,2.8729848333536627e-06,1.5625,combined,150.0,69.6796641835669,0.0
0.0,30.0,2.8729848333536627e-06,1.625,combined,150.0,61.93281206366937,0.0
0.0,30.0,2.8729848333536627e-06,1.6875,combined,150.0,58.92868820428573,0.0
0.0,30.0,2.8729848333536627e-06,1.75,combined,150.0,81.62701729125767,0.0
0.0,30.0,2.8729848333536627e-06,1.8125,combined,150.0,81.62701729125767,0.0
0.0,30.0,2.8729848333536627e-06,1.875,combined,150.0,81.62701729125767,0.0
0.0,30.0,2.8729848333536627e-06,1.9375,combined,150.0,81.62701729125767,0.0
0.0,30.0,2.8729848333536627e-06,2.0,combined,150.0,81.62701729125767,0.0
0.0,30.0,2.8729848333536627e-06,2.0625,combined,150.0,81.62701729125767,0.0
0.0,30.0,2.8729848333536627e-06,2.125,combined,150.0,81.62701729125767,0.0
0.0,30.0,2.8729848333536627e-06,2.1875,combined,150.0,81.62701729125767,0.0
0.0,30.0,2.8729848333536627e-06,2.25,combined,150.0,81.62701729125767,0.0
0.0,30.0,2.8729848333536627e-06,2.3125,combined,150.0,81.62701729125767,0.0
0.0,30.0,2.8729848333536627e-06,2.375,combined,150.0,81.62701729125767,0.0
0.0,30.0,2.8729848333536627e-06,2.4375,combined,150.0,81.62701729125767,0.0
0.0,30.0,2.8729848333536627e-06,2.5,combined,150.0,81.62701729125767,0.0
0.0,30.0,2.8729848333536627e-06,2.5625,combined,150.0,81.62701729125767,0.0
0.0,30.0,2.8729848333536627e-06,2.625,combined,150.0,81.62701729125767,0.0
0.0,30.0,2.8729848333536627e-06,2.6875,combined,150.0,81.62701729125767,0.0
0.0,30.0,2.8729848333536627e-06,2.75,combined,150.0,81.62701729125767,0.0
0.0,30.0,2.8729848333536627e-06,2.8125,combined,150.0,81.62701729125767,0.0
0.0,30.0,2.8729848333536627e-06,2.875,combined,150.0,81.62701729125767,0.0
0.0,30.0,2.8729848333536627e-06,2.9375,combined,150.0,81.62701729125767,0.0
0.0,30.0,2.8729848333536627e-06,3.0,combined,150.0,81.62701729125767,0.0
0.0,30.0,8.254041852680188e-06,1.5,combined,150.0,59.088881915394374,0.0
0.0,30.0,8.254041852680188e-06,1.5625,combined,150.0,70.24418858191294,0.0
0.0,30.0,8.254041852680188e-06,1.625,combined,150.0,72.84553288681258,0.0
0.0,30.0,8.254041852680188e-06,1.6875,combined,150.0,63.22091514390861,0.0
0.0,30.0,8.254041852680188e-06,1.75,combined,150.0,65.70796681247774,0.0
0.0,30.0,8.254041852680188e-06,1.8125,combined,150.0,64.95138100391685,0.0
0.0,30.0,8.254041852680188e-06,1.875,combined,150.0,81.62701729125767,0.0
0.0,30.0,8.254041852680188e-06,1.9375,combined,150.0,81.50286953194745,0.0
0.0,30.0,8.254041852680188e-06,2.0,combined,150.0,81.62701729125767,0.0
0.0,30.0,8.254041852680188e-06,2.0625,combined,150.0,81.62701729125767,0.0
0.0,30.0,8.254041852680188e-06,2.125,combined,150.0,81.62701729125767,0.0
0.0,30.0,8.254041852680188e-06,2.1875,combined,150.0,81.62701729125767,0.0
0.0,30.0,8.254041852680188e-06,2.25,combined,150.0,81.62701729125767,0.0
0.0,30.0,8.254041852680188e-06,2.3125,combined,150.0,81.62701729125767,0.0
0.0,30.0,8.254041852680188e-06,2.375,combined,150.0,81.62701729125767,0.0
0.0,30.0,8.254041852680188e-06,2.4375,combined,150.0,81.62701729125767,0.0
0.0,30.0,8.254041852680188e-06,2.5,combined,150.0,81.62701729125767,0.0
0.0,30.0,8.254041852680188e-06,2.5625,combined,150.0,81.62701729125767,0.0
0.0,30.0,8.254041852680188e-06,2.625,combined,150.0,81.62701729125767,0.0
0.0,30.0,8.254041852680188e-06,2.6875,combined,150.0,81.62701729125767,0.0
0.0,30.0,8.254041852680188e-06,2.75,combined,150.0,81.62701729125767,0.0
0.0,30.0,8.254041852680188e-06,2.8125,combined,150.0,81.62701729125767,0.0
0.0,30.0,8.254041852680188e-06,2.875,combined,150.0,81.62701729125767,0.0
0.0,30.0,8.254041852680188e-06,2.9375,combined,150.0,81.62701729125767,0.0
0.0,30.0,8.254041852680188e-06,3.0,combined,150.0,81.62701729125767,0.0
0.0,30.0,2.371373705661655e-05,1.5,combined,150.0,67.63114023772353,0.0
0.0,30.0,2.371373705661655e-05,1.5625,combined,150.0,59.10228478573651,0.0
0.0,30.0,2.371373705661655e-05,1.625,combined,150.0,62.44024864603302,0.0
0.0,30.0,2.371373705661655e-05,1.6875,combined,150.0,63.33827795341122,0.0
0.0,30.0,2.371373705661655e-05,1.75,combined,150.0,56.131196869733486,0.0
0.0,30.0,2.371373705661655e-05,1.8125,combined,150.0,66.1432088524468,0.0
0.0,30.0,2.371373705661655e-05,1.875,combined,150.0,72.09591851377458,0.0
0.0,30.0,2.371373705661655e-05,1.9375,combined,150.0,83.7058388922848,0.0
0.0,30.0,2.371373705661655e-05,2.0,combined,150.0,81.62701729125767,0.0
0.0,30.0,2.371373705661655e-05,2.0625,combined,150.0,81.62701729125767,0.0
0.0,30.0,2.371373705661655e-05,2.125,combined,150.0,81.62701729125767,0.0
0.0,30.0,2.371373705661655e-05,2.1875,combined,150.0,81.62701729125767,0.0
0.0,30.0,2.371373705661655e-05,2.25,combined,150.0,81.62701729125767,0.0
0.0,30.0,2.371373705661655e-05,2.3125,combined,150.0,81.62701729125767,0.0
0.0,30.0,2.371373705661655e-05,2.375,combined,150.0,81.62701729125767,0.0
