zenith_cut,angle,phi0,gamma,detector,length_days,mean_max_efstat,mean_max_efstat_error
180.0,5.0,1e-14,1.5,arca,150.0,,
180.0,5.0,1e-14,1.5625,arca,150.0,,
180.0,5.0,1e-14,1.625,arca,150.0,,
180.0,5.0,1e-14,1.6875,arca,150.0,,
180.0,5.0,1e-14,1.75,arca,150.0,,
180.0,5.0,1e-14,1.8125,arca,150.0,,
180.0,5.0,1e-14,1.875,arca,150.0,,
180.0,5.0,1e-14,1.9375,arca,150.0,,
180.0,5.0,1e-14,2.0,arca,150.0,,
180.0,5.0,1e-14,2.0625,arca,150.0,,
180.0,5.0,1e-14,2.125,arca,150.0,,
180.0,5.0,1e-14,2.1875,arca,150.0,,
180.0,5.0,1e-14,2.25,arca,150.0,,
180.0,5.0,1e-14,2.3125,arca,150.0,,
180.0,5.0,1e-14,2.375,arca,150.0,,
180.0,5.0,1e-14,2.4375,arca,150.0,,
180.0,5.0,1e-14,2.5,arca,150.0,,
180.0,5.0,1e-14,2.5625,arca,150.0,,
180.0,5.0,1e-14,2.625,arca,150.0,,
180.0,5.0,1e-14,2.6875,arca,150.0,,
180.0,5.0,1e-14,2.75,arca,150.0,,
180.0,5.0,1e-14,2.8125,arca,150.0,,
180.0,5.0,1e-14,2.875,arca,150.0,,
180.0,5.0,1e-14,2.9375,arca,150.0,,
180.0,5.0,1e-14,3.0,arca,150.0,,
180.0,5.0,2.1544346900318866e-14,1.5,arca,150.0,,
180.0,5.0,2.1544346900318866e-14,1.5625,arca,150.0,,
180.0,5.0,2.1544346900318866e-14,1.625,arca,150.0,,
180.0,5.0,2.1544346900318866e-14,1.6875,arca,150.0,,
180.0,5.0,2.1544346900318866e-14,1.75,arca,150.0,,
180.0,5.0,2.1544346900318866e-14,1.8125,arca,150.0,,
180.0,5.0,2.1544346900318866e-14,1.875,arca,150.0,,
180.0,5.0,2.1544346900318866e-14,1.9375,arca,150.0,,
180.0,5.0,2.1544346900318866e-14,2.0,arca,150.0,,
180.0,5.0,2.1544346900318866e-14,2.0625,arca,150.0,,
180.0,5.0,2.1544346900318866e-14,2.125,arca,150.0,,
180.0,5.0,2.1544346900318866e-14,2.1875,arca,150.0,,
180.0,5.0,2.1544346900318866e-14,2.25,arca,150.0,,
180.0,5.0,2.1544346900318866e-14,2.3125,arca,150.0,,
180.0,5.0,2.1544346900318866e-14,2.375,arca,150.0,,
180.0,5.0,2.1544346900318866e-14,2.4375,arca,150.0,,
180.0,5.0,2.1544346900318866e-14,2.5,arca,150.0,,
180.0,5.0,2.1544346900318866e-14,2.5625,arca,150.0,,
180.0,5.0,2.1544346900318866e-14,2.625,arca,150.0,,
180.0,5.0,2.1544346900318866e-14,2.6875,arca,150.0,,
180.0,5.0,2.1544346900318866e-14,2.75,arca,150.0,,
180.0,5.0,2.1544346900318866e-14,2.8125,arca,150.0,,
180.0,5.0,2.1544346900318866e-14,2.875,arca,150.0,,
180.0,5.0,2.1544346900318866e-14,2.9375,arca,150.0,,
180.0,5.0,2.1544346900318866e-14,3.0,arca,150.0,,
180.0,5.0,4.6415888336127726e-14,1.5,arca,150.0,,
180.0,5.0,4.6415888336127726e-14,1.5625,arca,150.0,,
180.0,5.0,4.6415888336127726e-14,1.625,arca,150.0,,
180.0,5.0,4.6415888336127726e-14,1.6875,arca,150.0,,
180.0,5.0,4.6415888336127726e-14,1.75,arca,150.0,,
180.0,5.0,4.6415888336127726e-14,1.8125,arca,150.0,,
180.0,5.0,4.6415888336127726e-14,1.875,arca,150.0,,
180.0,5.0,4.6415888336127726e-14,1.9375,arca,150.0,,
180.0,5.0,4.6415888336127726e-14,2.0,arca,150.0,,
180.0,5.0,4.6415888336127726e-14,2.0625,arca,150.0,,
180.0,5.0,4.6415888336127726e-14,2.125,arca,150.0,,
180.0,5.0,4.6415888336127726e-14,2.1875,arca,150.0,,
180.0,5.0,4.6415888336127726e-14,2.25,arca,150.0,,
180.0,5.0,4.6415888336127726e-14,2.3125,arca,150.0,,
180.0,5.0,4.6415888336127726e-14,2.375,arca,150.0,,
180.0,5.0,4.6415888336127726e-14,2.4375,arca,150.0,,
180.0,5.0,4.6415888336127726e-14,2.5,arca,150.0,,
180.0,5.0,4.6415888336127726e-14,2.5625,arca,150.0,,
180.0,5.0,4.6415888336127726e-14,2.625,arca,150.0,,
180.0,5.0,4.6415888336127726e-14,2.6875,arca,150.0,,
180.0,5.0,4.6415888336127726e-14,2.75,arca,150.0,,
180.0,5.0,4.6415888336127726e-14,2.8125,arca,150.0,,
180.0,5.0,4.6415888336127726e-14,2.875,arca,150.0,,
180.0,5.0,4.6415888336127726e-14,2.9375,arca,150.0,,
180.0,5.0,4.6415888336127726e-14,3.0,arca,150.0,,
180.0,5.0,1e-13,1.5,arca,150.0,,
180.0,5.0,1e-13,1.5625,arca,150.0,,
180.0,5.0,1e-13,1.625,arca,150.0,,
180.0,5.0,1e-13,1.6875,arca,150.0,,
180.0,5.0,1e-13,1.75,arca,150.0,,
180.0,5.0,1e-13,1.8125,arca,150.0,,
180.0,5.0,1e-13,1.875,arca,150.0,,
180.0,5.0,1e-13,1.9375,arca,150.0,,
180.0,5.0,1e-13,2.0,arca,150.0,,
