zenith_cut,angle,phi0,gamma,detector,mean_max_efstat,mean_max_efstat_error
15.0,30.0,1e-06,1.5,arca,59.65862215501991,0.0
15.0,30.0,1e-06,1.5,orca,57.91946380126602,0.0
15.0,30.0,1e-06,1.5,combined,69.14923611775588,0.0
15.0,30.0,1e-06,1.5625,arca,60.754240835280584,0.0
15.0,30.0,1e-06,1.5625,orca,57.91946380126602,0.0
15.0,30.0,1e-06,1.5625,combined,68.70099538852048,0.0
15.0,30.0,1e-06,1.625,arca,70.28201042349139,0.0
15.0,30.0,1e-06,1.625,orca,57.91946380126602,0.0
15.0,30.0,1e-06,1.625,combined,63.60683742512266,0.0
15.0,30.0,1e-06,1.6875,arca,70.28201042349139,0.0
15.0,30.0,1e-06,1.6875,orca,57.91946380126602,0.0
15.0,30.0,1e-06,1.6875,combined,81.62701729125767,0.0
15.0,30.0,1e-06,1.75,arca,70.28201042349139,0.0
15.0,30.0,1e-06,1.75,orca,57.91946380126602,0.0
15.0,30.0,1e-06,1.75,combined,73.02489783120494,0.0
15.0,30.0,1e-06,1.8125,arca,70.28201042349139,0.0
15.0,30.0,1e-06,1.8125,orca,57.91946380126602,0.0
15.0,30.0,1e-06,1.8125,combined,81.62701729125767,0.0
15.0,30.0,1e-06,1.875,arca,70.28201042349139,0.0
15.0,30.0,1e-06,1.875,orca,57.91946380126602,0.0
15.0,30.0,1e-06,1.875,combined,81.62701729125767,0.0
15.0,30.0,1e-06,1.9375,arca,70.28201042349139,0.0
15.0,30.0,1e-06,1.9375,orca,57.91946380126602,0.0
15.0,30.0,1e-06,1.9375,combined,81.62701729125767,0.0
15.0,30.0,1e-06,2.0,arca,70.28201042349139,0.0
15.0,30.0,1e-06,2.0,orca,57.91946380126602,0.0
15.0,30.0,1e-06,2.0,combined,81.62701729125767,0.0
15.0,30.0,1e-06,2.0625,arca,70.28201042349139,0.0
15.0,30.0,1e-06,2.0625,orca,57.91946380126602,0.0
15.0,30.0,1e-06,2.0625,combined,81.62701729125767,0.0
