zenith_cut,angle,phi0,gamma,detector,length_days,mean_max_efstat,mean_max_efstat_error
10.0,5.0,1e-06,1.5,combined,150.0,60.03998696962293,0.0
10.0,5.0,1e-06,1.5625,combined,150.0,66.64507729861676,0.0
10.0,5.0,1e-06,1.625,combined,150.0,60.238645612892725,0.0
10.0,5.0,1e-06,1.6875,combined,150.0,66.64507729861676,0.0
10.0,5.0,1e-06,1.75,combined,150.0,66.64507729861676,0.0
10.0,5.0,1e-06,1.8125,combined,150.0,66.64507729861676,0.0
10.0,5.0,1e-06,1.875,combined,150.0,66.64507729861676,0.0
10.0,5.0,1e-06,1.9375,combined,150.0,66.64507729861676,0.0
10.0,5.0,1e-06,2.0,combined,150.0,66.64507729861676,0.0
10.0,5.0,1e-06,2.0625,combined,150.0,66.64507729861676,0.0
10.0,5.0,1e-06,2.125,combined,150.0,66.64507729861676,0.0
10.0,5.0,1e-06,2.1875,combined,150.0,66.64507729861676,0.0
10.0,5.0,1e-06,2.25,combined,150.0,66.64507729861676,0.0
10.0,5.0,1e-06,2.3125,combined,150.0,66.64507729861676,0.0
10.0,5.0,1e-06,2.375,combined,150.0,66.64507729861676,0.0
10.0,5.0,1e-06,2.4375,combined,150.0,66.64507729861676,0.0
10.0,5.0,1e-06,2.5,combined,150.0,66.64507729861676,0.0
10.0,5.0,1e-06,2.5625,combined,150.0,66.64507729861676,0.0
10.0,5.0,1e-06,2.625,combined,150.0,66.64507729861676,0.0
10.0,5.0,1e-06,2.6875,combined,150.0,66.64507729861676,0.0
10.0,5.0,1e-06,2.75,combined,150.0,66.64507729861676,0.0
10.0,5.0,1e-06,2.8125,combined,150.0,66.64507729861676,0.0
10.0,5.0,1e-06,2.875,combined,150.0,66.64507729861676,0.0
10.0,5.0,1e-06,2.9375,combined,150.0,66.64507729861676,0.0
10.0,5.0,1e-06,3.0,combined,150.0,66.64507729861676,0.0
10.0,5.0,2.8729848333536627e-06,1.5,combined,150.0,67.76117580001628,0.0
10.0,5.0,2.8729848333536627e-06,1.5625,combined,150.0,65.42413877351575,0.0
10.0,5.0,2.8729848333536627e-06,1.625,combined,150.0,59.46354166666667,0.0
10.0,5.0,2.8729848333536627e-06,1.6875,combined,150.0,58.674047541517425,0.0
10.0,5.0,2.8729848333536627e-06,1.75,combined,150.0,66.64507729861676,0.0
10.0,5.0,2.8729848333536627e-06,1.8125,combined,150.0,66.64507729861676,0.0
10.0,5.0,2.8729848333536627e-06,1.875,combined,150.0,66.64507729861676,0.0
10.0,5.0,2.8729848333536627e-06,1.9375,combined,150.0,66.64507729861676,0.0
10.0,5.0,2.8729848333536627e-06,2.0,combined,150.0,66.64507729861676,0.0
10.0,5.0,2.8729848333536627e-06,2.0625,combined,150.0,66.64507729861676,0.0
10.0,5.0,2.8729848333536627e-06,2.125,combined,150.0,66.64507729861676,0.0
10.0,5.0,2.8729848333536627e-06,2.1875,combined,150.0,66.64507729861676,0.0
10.0,5.0,2.8729848333536627e-06,2.25,combined,150.0,66.64507729861676,0.0
10.0,5.0,2.8729848333536627e-06,2.3125,combined,150.0,66.64507729861676,0.0
10.0,5.0,2.8729848333536627e-06,2.375,combined,150.0,66.64507729861676,0.0
10.0,5.0,2.8729848333536627e-06,2.4375,combined,150.0,66.64507729861676,0.0
10.0,5.0,2.8729848333536627e-06,2.5,combined,150.0,66.64507729861676,0.0
10.0,5.0,2.8729848333536627e-06,2.5625,combined,150.0,66.64507729861676,0.0
10.0,5.0,2.8729848333536627e-06,2.625,combined,150.0,66.64507729861676,0.0
10.0,5.0,2.8729848333536627e-06,2.6875,combined,150.0,66.64507729861676,0.0
10.0,5.0,2.8729848333536627e-06,2.75,combined,150.0,66.64507729861676,0.0
10.0,5.0,2.8729848333536627e-06,2.8125,combined,150.0,66.64507729861676,0.0
10.0,5.0,2.8729848333536627e-06,2.875,combined,150.0,66.64507729861676,0.0
10.0,5.0,2.8729848333536627e-06,2.9375,combined,150.0,66.64507729861676,0.0
10.0,5.0,2.8729848333536627e-06,3.0,combined,150.0,66.64507729861676,0.0
10.0,5.0,8.254041852680188e-06,1.5,combined,150.0,70.75320647162377,0.0
10.0,5.0,8.254041852680188e-06,1.5625,combined,150.0,64.0461914460285,0.0
10.0,5.0,8.254041852680188e-06,1.625,combined,150.0,61.97369492629693,0.0
10.0,5.0,8.254041852680188e-06,1.6875,combined,150.0,59.78544685007326,0.0
10.0,5.0,8.254041852680188e-06,1.75,combined,150.0,59.46354166666667,0.0
10.0,5.0,8.254041852680188e-06,1.8125,combined,150.0,59.046875000000014,0.0
10.0,5.0,8.254041852680188e-06,1.875,combined,150.0,67.25541266482175,0.0
10.0,5.0,8.254041852680188e-06,1.9375,combined,150.0,66.64507729861676,0.0
10.0,5.0,8.254041852680188e-06,2.0,combined,150.0,66.64507729861676,0.0
10.0,5.0,8.254041852680188e-06,2.0625,combined,150.0,66.64507729861676,0.0
10.0,5.0,8.254041852680188e-06,2.125,combined,150.0,66.64507729861676,0.0
10.0,5.0,8.254041852680188e-06,2.1875,combined,150.0,66.64507729861676,0.0
10.0,5.0,8.254041852680188e-06,2.25,combined,150.0,66.64507729861676,0.0
10.0,5.0,8.254041852680188e-06,2.3125,combined,150.0,66.64507729861676,0.0
10.0,5.0,8.254041852680188e-06,2.375,combined,150.0,66.64507729861676,0.0
10.0,5.0,8.254041852680188e-06,2.4375,combined,150.0,66.64507729861676,0.0
10.0,5.0,8.254041852680188e-06,2.5,combined,150.0,66.64507729861676,0.0
10.0,5.0,8.254041852680188e-06,2.5625,combined,150.0,66.64507729861676,0.0
10.0,5.0,8.254041852680188e-06,2.625,combined,150.0,66.64507729861676,0.0
10.0,5.0,8.254041852680188e-06,2.6875,combined,150.0,66.64507729861676,0.0
10.0,5.0,8.254041852680188e-06,2.75,combined,150.0,66.64507729861676,0.0
10.0,5.0,8.254041852680188e-06,2.8125,combined,150.0,66.64507729861676,0.0
10.0,5.0,8.254041852680188e-06,2.875,combined,150.0,66.64507729861676,0.0
10.0,5.0,8.254041852680188e-06,2.9375,combined,150.0,66.64507729861676,0.0
10.0,5.0,8.254041852680188e-06,3.0,combined,150.0,66.64507729861676,0.0
10.0,5.0,2.371373705661655e-05,1.5,combined,150.0,56.73118279569891,0.0
10.0,5.0,2.371373705661655e-05,1.5625,combined,150.0,59.025256640052156,0.0
10.0,5.0,2.371373705661655e-05,1.625,combined,150.0,57.15348268839104,0.0
10.0,5.0,2.371373705661655e-05,1.6875,combined,150.0,57.57087030855655,0.0
10.0,5.0,2.371373705661655e-05,1.75,combined,150.0,59.46354166666667,0.0
10.0,5.0,2.371373705661655e-05,1.8125,combined,150.0,57.936187530522545,0.0
10.0,5.0,2.371373705661655e-05,1.875,combined,150.0,59.46354166666667,0.0
10.0,5.0,2.371373705661655e-05,1.9375,combined,150.0,66.64507729861676,0.0
10.0,5.0,2.371373705661655e-05,2.0,combined,150.0,66.64507729861676,0.0
10.0,5.0,2.371373705661655e-05,2.0625,combined,150.0,66.64507729861676,0.0
10.0,5.0,2.371373705661655e-05,2.125,combined,150.0,66.64507729861676,0.0
10.0,5.0,2.371373705661655e-05,2.1875,combined,150.0,66.64507729861676,0.0
10.0,5.0,2.371373705661655e-05,2.25,combined,150.0,66.64507729861676,0.0
10.0,5.0,2.371373705661655e-05,2.3125,combined,150.0,66.64507729861676,0.0
10.0,5.0,2.371373705661655e-05,2.375,combined,150.0,66.64507729861676,0.0
10.0,5.0,2.371373705661655e-05,2.4375,combined,150.0,66.64507729861676,0.0
10.0,5.0,2.371373705661655e-05,2.5,combined,150.0,66.64507729861676,0.0
10.0,5.0,2.371373705661655e-05,2.5625,combined,150.0,66.64507729861676,0.0
10.0,5.0,2.371373705661655e-05,2.625,combined,150.0,66.64507729861676,0.0
10.0,5.0,2.371373705661655e-05,2.6875,combined,150.0,66.64507729861676,0.0
10.0,5.0,2.371373705661655e-05,2.75,combined,150.0,66.64507729861676,0.0
10.0,5.0,2.371373705661655e-05,2.8125,combined,150.0,66.64507729861676,0.0
10.0,5.0,2.371373705661655e-05,2.875,combined,150.0,66.64507729861676,0.0
10.0,5.0,2.371373705661655e-05,2.9375,combined,150.0,66.64507729861676,0.0
10.0,5.0,2.371373705661655e-05,3.0,combined,150.0,66.64507729861676,0.0
10.0,5.0,6.812920690579608e-05,1.5,combined,150.0,59.00961381782631,0.0
10.0,5.0,6.812920690579608e-05,1.5625,combined,150.0,61.55570032573289,0.0
10.0,5.0,6.812920690579608e-05,1.625,combined,150.0,61.203795715565676,0.0
10.0,5.0,6.812920690579608e-05,1.6875,combined,150.0,65.04234527687296,0.0
10.0,5.0,6.812920690579608e-05,1.75,combined,150.0,60.23713355048859,0.0
10.0,5.0,6.812920690579608e-05,1.8125,combined,150.0,56.23511686619431,0.0
10.0,5.0,6.812920690579608e-05,1.875,combined,150.0,71.43016759776536,0.0
10.0,5.0,6.812920690579608e-05,1.9375,combined,150.0,66.64507729861676,0.0
10.0,5.0,6.812920690579608e-05,2.0,combined,150.0,66.64507729861676,0.0
10.0,5.0,6.812920690579608e-05,2.0625,combined,150.0,66.64507729861676,0.0
10.0,5.0,6.812920690579608e-05,2.125,combined,150.0,66.64507729861676,0.0
10.0,5.0,6.812920690579608e-05,2.1875,combined,150.0,66.64507729861676,0.0
10.0,5.0,6.812920690579608e-05,2.25,combined,150.0,66.64507729861676,0.0
10.0,5.0,6.812920690579608e-05,2.3125,combined,150.0,66.64507729861676,0.0
10.0,5.0,6.812920690579608e-05,2.375,combined,150.0,66.64507729861676,0.0
10.0,5.0,6.812920690579608e-05,2.4375,combined,150.0,66.64507729861676,0.0
10.0,5.0,6.812920690579608e-05,2.5,combined,150.0,66.64507729861676,0.0
10.0,5.0,6.812920690579608e-05,2.5625,combined,150.0,66.64507729861676,0.0
10.0,5.0,6.812920690579608e-05,2.625,combined,150.0,66.64507729861676,0.0
10.0,5.0,6.812920690579608e-05,2.6875,combined,150.0,66.64507729861676,0.0
10.0,5.0,6.812920690579608e-05,2.75,combined,150.0,66.64507729861676,0.0
10.0,5.0,6.812920690579608e-05,2.8125,combined,150.0,66.64507729861676,0.0
10.0,5.0,6.812920690579608e-05,2.875,combined,150.0,66.64507729861676,0.0
10.0,5.0,6.812920690579608e-05,2.9375,combined,150.0,66.64507729861676,0.0
10.0,5.0,6.812920690579608e-05,3.0,combined,150.0,66.64507729861676,0.0
10.0,5.0,0.00019573417814876596,1.5,combined,150.0,65.94146384018146,0.0
10.0,5.0,0.00019573417814876596,1.5625,combined,150.0,58.38852672750977,0.0
