zenith_cut,angle,phi0,gamma,detector,mean_max_efstat,mean_max_efstat_error
60.0,30.0,1e-14,1.5,arca,68.3753912974611,0.0
60.0,30.0,1e-14,1.5625,arca,68.3753912974611,0.0
60.0,30.0,1e-14,1.625,arca,68.3753912974611,0.0
60.0,30.0,1e-14,1.6875,arca,68.3753912974611,0.0
60.0,30.0,1e-14,1.75,arca,68.3753912974611,0.0
60.0,30.0,1e-14,1.8125,arca,60.26713059001462,0.0
60.0,30.0,1e-14,1.875,arca,68.3753912974611,0.0
60.0,30.0,1e-14,1.9375,arca,68.3753912974611,0.0
60.0,30.0,1e-14,2.0,arca,68.3753912974611,0.0
60.0,30.0,1e-14,2.0625,arca,68.3753912974611,0.0
60.0,30.0,1e-14,2.125,arca,63.80034783621741,0.0
60.0,30.0,1e-14,2.1875,arca,68.3753912974611,0.0
60.0,30.0,1e-14,2.25,arca,68.3753912974611,0.0
60.0,30.0,1e-14,2.3125,arca,68.3753912974611,0.0
60.0,30.0,1e-14,2.375,arca,68.3753912974611,0.0
60.0,30.0,1e-14,2.4375,arca,58.70903461514645,0.0
60.0,30.0,1e-14,2.5,arca,68.3753912974611,0.0
60.0,30.0,1e-14,2.5625,arca,68.3753912974611,0.0
60.0,30.0,1e-14,2.625,arca,68.3753912974611,0.0
60.0,30.0,1e-14,2.6875,arca,59.430252741380244,0.0
60.0,30.0,1e-14,2.75,arca,68.3753912974611,0.0
60.0,30.0,1e-14,2.8125,arca,68.3753912974611,0.0
60.0,30.0,1e-14,2.875,arca,60.70914903776288,0.0
60.0,30.0,1e-14,2.9375,arca,68.3753912974611,0.0
60.0,30.0,1e-14,3.0,arca,68.3753912974611,0.0
60.0,30.0,2.1544346900318866e-14,1.5,arca,68.3753912974611,0.0
60.0,30.0,2.1544346900318866e-14,1.5625,arca,62.1084099759715,0.0
60.0,30.0,2.1544346900318866e-14,1.625,arca,68.3753912974611,0.0
60.0,30.0,2.1544346900318866e-14,1.6875,arca,67.08253743465856,0.0
60.0,30.0,2.1544346900318866e-14,1.75,arca,66.99140782104335,0.0
60.0,30.0,2.1544346900318866e-14,1.8125,arca,57.83368018775833,0.0
60.0,30.0,2.1544346900318866e-14,1.875,arca,68.3753912974611,0.0
60.0,30.0,2.1544346900318866e-14,1.9375,arca,68.3753912974611,0.0
60.0,30.0,2.1544346900318866e-14,2.0,arca,68.3753912974611,0.0
60.0,30.0,2.1544346900318866e-14,2.0625,arca,66.00946729781984,0.0
60.0,30.0,2.1544346900318866e-14,2.125,arca,68.3753912974611,0.0
60.0,30.0,2.1544346900318866e-14,2.1875,arca,68.3753912974611,0.0
60.0,30.0,2.1544346900318866e-14,2.25,arca,64.20970958675966,0.0
60.0,30.0,2.1544346900318866e-14,2.3125,arca,68.3753912974611,0.0
60.0,30.0,2.1544346900318866e-14,2.375,arca,68.3753912974611,0.0
60.0,30.0,2.1544346900318866e-14,2.4375,arca,68.3753912974611,0.0
60.0,30.0,2.1544346900318866e-14,2.5,arca,68.3753912974611,0.0
60.0,30.0,2.1544346900318866e-14,2.5625,arca,68.3753912974611,0.0
60.0,30.0,2.1544346900318866e-14,2.625,arca,68.3753912974611,0.0
60.0,30.0,2.1544346900318866e-14,2.6875,arca,68.3753912974611,0.0
60.0,30.0,2.1544346900318866e-14,2.75,arca,68.3753912974611,0.0
60.0,30.0,2.1544346900318866e-14,2.8125,arca,68.3753912974611,0.0
60.0,30.0,2.1544346900318866e-14,2.875,arca,68.3753912974611,0.0
60.0,30.0,2.1544346900318866e-14,2.9375,arca,68.3753912974611,0.0
60.0,30.0,2.1544346900318866e-14,3.0,arca,68.3753912974611,0.0
60.0,30.0,4.6415888336127726e-14,1.5,arca,63.50378063980058,0.0
60.0,30.0,4.6415888336127726e-14,1.5625,arca,62.909838175341875,0.0
60.0,30.0,4.6415888336127726e-14,1.625,arca,68.3753912974611,0.0
60.0,30.0,4.6415888336127726e-14,1.6875,arca,65.54577384576515,0.0
60.0,30.0,4.6415888336127726e-14,1.75,arca,73.51512031486126,0.0
60.0,30.0,4.6415888336127726e-14,1.8125,arca,61.05682407349801,0.0
60.0,30.0,4.6415888336127726e-14,1.875,arca,65.51599693711088,0.0
60.0,30.0,4.6415888336127726e-14,1.9375,arca,59.809204704552904,0.0
60.0,30.0,4.6415888336127726e-14,2.0,arca,65.29505518322163,0.0
60.0,30.0,4.6415888336127726e-14,2.0625,arca,68.3753912974611,0.0
60.0,30.0,4.6415888336127726e-14,2.125,arca,63.37778652034372,0.0
60.0,30.0,4.6415888336127726e-14,2.1875,arca,68.90795257759424,0.0
60.0,30.0,4.6415888336127726e-14,2.25,arca,62.046800247882665,0.0
60.0,30.0,4.6415888336127726e-14,2.3125,arca,62.57944420522673,0.0
60.0,30.0,4.6415888336127726e-14,2.375,arca,68.09441416212431,0.0
60.0,30.0,4.6415888336127726e-14,2.4375,arca,68.3753912974611,0.0
60.0,30.0,4.6415888336127726e-14,2.5,arca,68.3753912974611,0.0
60.0,30.0,4.6415888336127726e-14,2.5625,arca,68.3753912974611,0.0
60.0,30.0,4.6415888336127726e-14,2.625,arca,68.3753912974611,0.0
60.0,30.0,4.6415888336127726e-14,2.6875,arca,68.3753912974611,0.0
60.0,30.0,4.6415888336127726e-14,2.75,arca,68.3753912974611,0.0
60.0,30.0,4.6415888336127726e-14,2.8125,arca,68.3753912974611,0.0
60.0,30.0,4.6415888336127726e-14,2.875,arca,68.3753912974611,0.0
60.0,30.0,4.6415888336127726e-14,2.9375,arca,65.71008034484625,0.0
60.0,30.0,4.6415888336127726e-14,3.0,arca,68.3753912974611,0.0
60.0,30.0,1e-13,1.5,arca,62.725774362987075,0.0
60.0,30.0,1e-13,1.5625,arca,61.440482736665416,0.0
60.0,30.0,1e-13,1.625,arca,56.19286905495942,0.0
60.0,30.0,1e-13,1.6875,arca,68.3753912974611,0.0
60.0,30.0,1e-13,1.75,arca,66.42795225711808,0.0
60.0,30.0,1e-13,1.8125,arca,63.329140461215935,0.0
60.0,30.0,1e-13,1.875,arca,63.61016639770337,0.0
60.0,30.0,1e-13,1.9375,arca,64.00659945914207,0.0
60.0,30.0,1e-13,2.0,arca,68.3753912974611,0.0
60.0,30.0,1e-13,2.0625,arca,66.08575477793295,0.0
60.0,30.0,1e-13,2.125,arca,68.3753912974611,0.0
60.0,30.0,1e-13,2.1875,arca,65.8395843913648,0.0
60.0,30.0,1e-13,2.25,arca,66.88114215351848,0.0
60.0,30.0,1e-13,2.3125,arca,68.3753912974611,0.0
60.0,30.0,1e-13,2.375,arca,65.99860012832158,0.0
60.0,30.0,1e-13,2.4375,arca,68.3753912974611,0.0
60.0,30.0,1e-13,2.5,arca,68.3753912974611,0.0
60.0,30.0,1e-13,2.5625,arca,68.3753912974611,0.0
60.0,30.0,1e-13,2.625,arca,68.3753912974611,0.0
60.0,30.0,1e-13,2.6875,arca,68.3753912974611,0.0
60.0,30.0,1e-13,2.75,arca,68.3753912974611,0.0
60.0,30.0,1e-13,2.8125,arca,69.82461658802872,0.0
60.0,30.0,1e-13,2.875,arca,68.3753912974611,0.0
